Test Iteration,Matching,Decision
0,1000,OK
1,1000,OK
2,1000,OK
3,1000,OK
4,1000,OK
5,1000,OK
6,1000,OK
7,997,OK
8,1000,OK
9,1000,OK
10,1000,OK
11,993,OK
12,1000,OK
13,1000,OK
14,1000,OK
15,1000,OK
16,1000,OK
17,977,OK
18,1000,OK
19,1000,OK
20,1000,OK
21,1000,OK
22,1000,OK
23,1000,OK
24,1000,OK
25,1000,OK
26,1000,OK
27,953,OK
28,1000,OK
29,1000,OK
30,1000,OK
31,991,OK
32,1000,OK
33,958,OK
34,1000,OK
35,1000,OK
36,1000,OK
37,1000,OK
38,1000,OK
39,998,OK
40,1000,OK
41,1000,OK
42,1000,OK
43,977,OK
44,1000,OK
45,993,OK
46,1000,OK
47,1000,OK
48,1000,OK
49,1000,OK
50,1000,OK
51,953,OK
52,1000,OK
53,993,OK
54,1000,OK
55,993,OK
56,1000,OK
57,1000,OK
58,1000,OK
59,991,OK
60,1000,OK
61,1000,OK
62,1000,OK
63,994,OK
64,1000,OK
65,993,OK
66,1000,OK
67,1000,OK
68,1000,OK
69,981,OK
70,1000,OK
71,1000,OK
72,1000,OK
73,1000,OK
74,1000,OK
75,977,OK
76,1000,OK
77,1000,OK
78,1000,OK
79,993,OK
80,1000,OK
81,981,OK
82,1000,OK
83,1000,OK
84,1000,OK
85,1000,OK
86,1000,OK
87,998,OK
88,1000,OK
89,1000,OK
90,1000,OK
91,1000,OK
92,1000,OK
93,997,OK
94,1000,OK
95,1000,OK
96,1000,OK
97,992,OK
98,1000,OK
99,990,OK
100,1000,OK
101,993,OK
102,1000,OK
103,1000,OK
104,1000,OK
105,1000,OK
106,1000,OK
107,1000,OK
108,1000,OK
109,991,OK
110,1000,OK
111,1000,OK
112,1000,OK
113,1000,OK
114,1000,OK
115,1000,OK
116,1000,OK
117,997,OK
118,1000,OK
119,1000,OK
120,1000,OK
121,992,OK
122,1000,OK
123,1000,OK
124,1000,OK
125,1000,OK
126,1000,OK
127,977,OK
128,1000,OK
129,1000,OK
130,1000,OK
131,1000,OK
132,1000,OK
133,1000,OK
134,1000,OK
135,1000,OK
136,1000,OK
137,953,OK
138,1000,OK
139,1000,OK
140,1000,OK
141,990,OK
142,1000,OK
143,958,OK
144,1000,OK
145,1000,OK
146,1000,OK
147,1000,OK
148,1000,OK
149,998,OK
150,1000,OK
151,1000,OK
152,1000,OK
153,977,OK
154,1000,OK
155,993,OK
156,1000,OK
157,1000,OK
158,1000,OK
159,1000,OK
160,1000,OK
161,953,OK
162,1000,OK
163,993,OK
164,1000,OK
165,993,OK
166,1000,OK
167,1000,OK
168,1000,OK
169,991,OK
170,1000,OK
171,1000,OK
172,1000,OK
173,993,OK
174,1000,OK
175,993,OK
176,1000,OK
177,1000,OK
178,1000,OK
179,981,OK
180,1000,OK
181,1000,OK
182,1000,OK
183,1000,OK
184,1000,OK
185,977,OK
186,1000,OK
187,1000,OK
188,1000,OK
189,993,OK
190,1000,OK
191,982,OK
192,1000,OK
193,1000,OK
194,1000,OK
195,1000,OK
