Test Iteration,Matching,Percentage
0,250,1.0
1,250,1.0
2,250,1.0
3,250,1.0
4,250,1.0
5,250,1.0
6,250,1.0
7,250,1.0
8,250,1.0
9,250,1.0
10,250,1.0
11,250,1.0
12,250,1.0
13,250,1.0
14,250,1.0
15,250,1.0
16,250,1.0
17,250,1.0
18,250,1.0
19,250,1.0
20,250,1.0
21,250,1.0
22,250,1.0
23,250,1.0
24,250,1.0
25,250,1.0
26,250,1.0
27,250,1.0
28,250,1.0
29,250,1.0
30,250,1.0
31,250,1.0
32,250,1.0
33,250,1.0
34,250,1.0
35,250,1.0
36,250,1.0
37,250,1.0
38,250,1.0
39,250,1.0
40,250,1.0
41,250,1.0
42,250,1.0
43,250,1.0
44,250,1.0
45,250,1.0
46,250,1.0
47,250,1.0
48,250,1.0
49,250,1.0
50,250,1.0
51,250,1.0
52,250,1.0
53,250,1.0
54,250,1.0
55,250,1.0
56,250,1.0
57,250,1.0
58,250,1.0
59,250,1.0
60,250,1.0
61,250,1.0
62,250,1.0
63,250,1.0
64,250,1.0
65,250,1.0
66,250,1.0
67,250,1.0
68,250,1.0
69,250,1.0
70,250,1.0
71,250,1.0
72,250,1.0
73,250,1.0
74,250,1.0
75,250,1.0
76,250,1.0
77,250,1.0
78,250,1.0
79,250,1.0
80,250,1.0
81,250,1.0
82,250,1.0
83,250,1.0
84,250,1.0
85,250,1.0
86,250,1.0
87,250,1.0
88,250,1.0
89,250,1.0
90,250,1.0
91,250,1.0
92,250,1.0
93,250,1.0
94,250,1.0
95,250,1.0
96,250,1.0
97,250,1.0
98,250,1.0
99,250,1.0
100,250,1.0
101,250,1.0
102,250,1.0
103,250,1.0
104,250,1.0
105,250,1.0
106,250,1.0
107,250,1.0
108,250,1.0
109,250,1.0
110,250,1.0
111,250,1.0
112,250,1.0
113,250,1.0
114,250,1.0
115,250,1.0
116,250,1.0
117,250,1.0
118,250,1.0
119,250,1.0
120,250,1.0
121,250,1.0
122,250,1.0
123,250,1.0
124,250,1.0
125,250,1.0
126,250,1.0
127,250,1.0
128,250,1.0
129,0,0.0
130,0,0.0
131,0,0.0
132,0,0.0
133,0,0.0
134,0,0.0
135,0,0.0
136,0,0.0
137,0,0.0
138,0,0.0
139,0,0.0
140,0,0.0
141,0,0.0
142,0,0.0
143,0,0.0
144,0,0.0
145,0,0.0
146,0,0.0
147,0,0.0
148,0,0.0
149,0,0.0
150,0,0.0
151,0,0.0
152,0,0.0
153,0,0.0
154,0,0.0
155,0,0.0
156,0,0.0
157,0,0.0
158,0,0.0
159,0,0.0
160,0,0.0
161,0,0.0
162,0,0.0
163,0,0.0
164,0,0.0
165,0,0.0
166,0,0.0
167,0,0.0
168,0,0.0
169,0,0.0
170,0,0.0
171,0,0.0
172,0,0.0
173,0,0.0
174,0,0.0
175,0,0.0
176,0,0.0
177,0,0.0
178,0,0.0
179,0,0.0
180,0,0.0
181,0,0.0
182,0,0.0
183,0,0.0
184,0,0.0
185,0,0.0
186,0,0.0
187,0,0.0
188,0,0.0
189,0,0.0
190,0,0.0
191,0,0.0
192,0,0.0
193,0,0.0
194,0,0.0
195,0,0.0
196,0,0.0
197,0,0.0
198,0,0.0
199,0,0.0
200,0,0.0
201,0,0.0
202,0,0.0
203,0,0.0
204,0,0.0
205,0,0.0
206,0,0.0
207,0,0.0
208,0,0.0
209,0,0.0
210,0,0.0
211,0,0.0
212,0,0.0
213,0,0.0
214,0,0.0
215,0,0.0
216,0,0.0
217,0,0.0
218,0,0.0
219,0,0.0
220,0,0.0
221,0,0.0
222,0,0.0
223,0,0.0
224,0,0.0
225,0,0.0
226,0,0.0
227,0,0.0
228,0,0.0
229,0,0.0
230,0,0.0
231,0,0.0
232,0,0.0
233,0,0.0
234,0,0.0
235,0,0.0
236,0,0.0
237,0,0.0
238,0,0.0
239,0,0.0
240,0,0.0
241,0,0.0
242,0,0.0
243,0,0.0
244,0,0.0
245,0,0.0
246,0,0.0
247,0,0.0
248,0,0.0
249,0,0.0
250,0,0.0
251,0,0.0
252,0,0.0
253,0,0.0
254,0,0.0
255,0,0.0
256,250,1.0
257,250,1.0
258,250,1.0
259,250,1.0
260,250,1.0
261,250,1.0
262,250,1.0
263,250,1.0
264,250,1.0
265,250,1.0
266,250,1.0
267,250,1.0
268,250,1.0
269,250,1.0
270,250,1.0
271,250,1.0
272,250,1.0
273,250,1.0
274,250,1.0
275,250,1.0
276,250,1.0
277,250,1.0
278,250,1.0
279,250,1.0
280,250,1.0
281,250,1.0
282,250,1.0
283,250,1.0
284,250,1.0
285,250,1.0
286,250,1.0
287,250,1.0
288,250,1.0
289,250,1.0
290,250,1.0
291,250,1.0
292,250,1.0
293,250,1.0
294,250,1.0
295,250,1.0
296,250,1.0
297,250,1.0
298,250,1.0
299,250,1.0
300,250,1.0
301,250,1.0
302,250,1.0
303,250,1.0
304,250,1.0
305,250,1.0
306,250,1.0
307,250,1.0
308,250,1.0
309,250,1.0
310,250,1.0
311,250,1.0
312,250,1.0
313,250,1.0
314,250,1.0
315,250,1.0
316,250,1.0
317,250,1.0
318,250,1.0
319,250,1.0
320,250,1.0
321,250,1.0
322,250,1.0
323,250,1.0
324,250,1.0
325,250,1.0
326,250,1.0
327,250,1.0
328,250,1.0
329,250,1.0
330,250,1.0
331,250,1.0
332,250,1.0
333,250,1.0
334,250,1.0
335,250,1.0
336,250,1.0
337,250,1.0
338,250,1.0
339,250,1.0
340,250,1.0
341,250,1.0
342,250,1.0
343,250,1.0
344,250,1.0
345,250,1.0
346,250,1.0
347,250,1.0
348,250,1.0
349,250,1.0
350,250,1.0
351,250,1.0
352,250,1.0
353,250,1.0
354,250,1.0
355,250,1.0
356,250,1.0
357,250,1.0
358,250,1.0
359,250,1.0
360,250,1.0
361,250,1.0
362,250,1.0
363,250,1.0
364,250,1.0
365,250,1.0
366,250,1.0
367,250,1.0
368,250,1.0
369,250,1.0
370,250,1.0
371,250,1.0
372,250,1.0
373,250,1.0
374,250,1.0
375,250,1.0
376,250,1.0
377,250,1.0
378,250,1.0
379,250,1.0
380,250,1.0
381,250,1.0
382,250,1.0
383,250,1.0
384,250,1.0
385,0,0.0
386,0,0.0
387,0,0.0
388,0,0.0
389,0,0.0
390,0,0.0
391,0,0.0
392,0,0.0
393,0,0.0
394,0,0.0
395,0,0.0
396,0,0.0
397,0,0.0
398,0,0.0
399,0,0.0
400,0,0.0
401,0,0.0
402,0,0.0
403,0,0.0
404,0,0.0
405,0,0.0
406,0,0.0
407,0,0.0
408,0,0.0
409,0,0.0
410,0,0.0
411,0,0.0
412,0,0.0
413,0,0.0
414,0,0.0
415,0,0.0
416,0,0.0
417,0,0.0
418,0,0.0
419,0,0.0
420,0,0.0
421,0,0.0
422,0,0.0
423,0,0.0
424,0,0.0
425,0,0.0
426,0,0.0
427,0,0.0
428,0,0.0
429,0,0.0
430,0,0.0
431,0,0.0
