Test Iteration,Matching,Percentage
0,500,1.0
1,500,1.0
2,500,1.0
3,500,1.0
4,494,0.988
5,499,0.998
6,482,0.964
7,499,0.998
8,500,1.0
9,500,1.0
10,500,1.0
11,482,0.964
12,500,1.0
13,500,1.0
14,500,1.0
15,500,1.0
16,500,1.0
17,500,1.0
18,500,1.0
19,500,1.0
20,500,1.0
21,500,1.0
22,500,1.0
23,499,0.998
24,500,1.0
25,499,0.998
26,500,1.0
27,500,1.0
28,500,1.0
29,500,1.0
30,500,1.0
31,500,1.0
32,500,1.0
33,500,1.0
34,500,1.0
35,500,1.0
36,500,1.0
37,500,1.0
38,500,1.0
39,500,1.0
40,500,1.0
41,499,0.998
42,500,1.0
43,499,0.998
44,500,1.0
45,500,1.0
46,500,1.0
47,500,1.0
48,500,1.0
49,500,1.0
50,500,1.0
51,500,1.0
52,500,1.0
53,500,1.0
54,500,1.0
55,500,1.0
56,500,1.0
57,500,1.0
58,500,1.0
59,499,0.998
60,500,1.0
61,499,0.998
62,500,1.0
63,500,1.0
64,500,1.0
65,500,1.0
66,500,1.0
67,500,1.0
68,500,1.0
69,500,1.0
70,500,1.0
71,500,1.0
72,500,1.0
73,500,1.0
74,500,1.0
75,500,1.0
76,500,1.0
77,499,0.998
78,500,1.0
79,499,0.998
80,500,1.0
81,500,1.0
82,500,1.0
83,500,1.0
84,500,1.0
85,500,1.0
86,500,1.0
87,500,1.0
88,500,1.0
89,500,1.0
90,500,1.0
91,500,1.0
92,500,1.0
93,500,1.0
94,500,1.0
95,499,0.998
96,500,1.0
97,499,0.998
98,500,1.0
99,500,1.0
100,500,1.0
101,500,1.0
102,500,1.0
103,500,1.0
104,500,1.0
105,500,1.0
106,500,1.0
107,500,1.0
108,500,1.0
109,500,1.0
110,500,1.0
111,500,1.0
112,500,1.0
113,498,0.996
114,500,1.0
115,499,0.998
116,500,1.0
117,500,1.0
118,500,1.0
119,500,1.0
120,500,1.0
121,500,1.0
122,500,1.0
123,500,1.0
124,500,1.0
125,500,1.0
126,500,1.0
127,500,1.0
128,500,1.0
129,500,1.0
130,500,1.0
131,499,0.998
132,500,1.0
133,499,0.998
134,500,1.0
135,500,1.0
136,500,1.0
137,500,1.0
138,500,1.0
139,500,1.0
140,500,1.0
141,500,1.0
142,500,1.0
143,500,1.0
144,500,1.0
145,500,1.0
146,500,1.0
147,500,1.0
148,500,1.0
149,499,0.998
150,500,1.0
151,498,0.996
152,500,1.0
153,500,1.0
154,500,1.0
155,500,1.0
156,500,1.0
157,500,1.0
158,500,1.0
159,500,1.0
160,500,1.0
161,277,0.554
162,500,1.0
163,500,1.0
164,500,1.0
165,500,1.0
166,494,0.988
167,499,0.998
168,494,0.988
169,499,0.998
170,500,1.0
171,500,1.0
172,500,1.0
173,481,0.962
174,500,1.0
175,500,1.0
176,500,1.0
177,500,1.0
178,500,1.0
179,500,1.0
180,500,1.0
181,500,1.0
182,500,1.0
183,500,1.0
184,500,1.0
185,499,0.998
186,500,1.0
187,499,0.998
188,500,1.0
189,500,1.0
190,500,1.0
191,500,1.0
192,500,1.0
193,500,1.0
194,500,1.0
195,500,1.0
196,500,1.0
197,500,1.0
198,500,1.0
199,500,1.0
200,500,1.0
201,500,1.0
202,500,1.0
203,499,0.998
204,500,1.0
205,499,0.998
206,500,1.0
207,500,1.0
208,500,1.0
209,500,1.0
210,500,1.0
211,500,1.0
212,500,1.0
213,500,1.0
214,500,1.0
215,500,1.0
216,500,1.0
217,500,1.0
218,500,1.0
219,500,1.0
220,500,1.0
221,495,0.99
222,500,1.0
223,499,0.998
224,500,1.0
225,500,1.0
226,500,1.0
227,500,1.0
228,500,1.0
229,500,1.0
230,500,1.0
231,500,1.0
232,500,1.0
233,500,1.0
234,500,1.0
235,500,1.0
236,500,1.0
237,500,1.0
238,500,1.0
239,499,0.998
240,500,1.0
241,499,0.998
242,500,1.0
243,500,1.0
244,500,1.0
245,500,1.0
246,500,1.0
247,500,1.0
248,500,1.0
249,500,1.0
250,500,1.0
251,500,1.0
252,500,1.0
253,494,0.988
254,500,1.0
255,500,1.0
256,500,1.0
257,498,0.996
258,500,1.0
259,499,0.998
260,500,1.0
261,500,1.0
262,500,1.0
263,500,1.0
264,500,1.0
265,500,1.0
266,500,1.0
267,500,1.0
268,500,1.0
269,500,1.0
270,500,1.0
271,500,1.0
