Test Iteration,Matching,Percentage
0,400,1.0
1,397,0.9925
2,400,1.0
3,325,0.8125
4,400,1.0
5,400,1.0
6,393,0.9825
7,397,0.9925
8,325,0.8125
9,400,1.0
10,400,1.0
11,400,1.0
12,325,0.8125
13,400,1.0
14,397,0.9925
15,394,0.985
16,329,0.8225
17,400,1.0
18,329,0.8225
19,400,1.0
20,397,0.9925
21,400,1.0
22,400,1.0
23,325,0.8125
24,400,1.0
25,398,0.995
26,400,1.0
27,400,1.0
28,325,0.8125
29,400,1.0
30,397,0.9925
31,400,1.0
32,325,0.8125
33,400,1.0
34,394,0.985
35,374,0.935
36,400,1.0
37,325,0.8125
38,400,1.0
39,329,0.8225
40,400,1.0
41,400,1.0
42,397,0.9925
43,325,0.8125
44,400,1.0
45,382,0.955
46,400,1.0
47,400,1.0
48,325,0.8125
49,400,1.0
50,400,1.0
51,400,1.0
52,400,1.0
53,325,0.8125
54,400,1.0
55,400,1.0
56,400,1.0
57,325,0.8125
58,400,1.0
59,394,0.985
60,397,0.9925
61,325,0.8125
62,400,1.0
63,400,1.0
64,325,0.8125
65,400,1.0
66,394,0.985
67,400,1.0
68,329,0.8225
69,400,1.0
70,329,0.8225
71,400,1.0
72,329,0.8225
73,400,1.0
74,394,0.985
75,397,0.9925
76,325,0.8125
77,400,1.0
78,400,1.0
79,329,0.8225
80,400,1.0
81,400,1.0
82,394,0.985
83,329,0.8225
84,400,1.0
85,400,1.0
86,397,0.9925
87,325,0.8125
88,400,1.0
89,374,0.935
90,400,1.0
91,325,0.8125
92,400,1.0
93,398,0.995
94,325,0.8125
95,400,1.0
96,400,1.0
97,400,1.0
98,329,0.8225
99,400,1.0
100,400,1.0
101,325,0.8125
102,400,1.0
103,400,1.0
104,397,0.9925
105,400,1.0
106,325,0.8125
107,400,1.0
108,394,0.985
109,329,0.8225
110,400,1.0
111,325,0.8125
112,400,1.0
113,400,1.0
114,329,0.8225
115,400,1.0
116,400,1.0
117,397,0.9925
118,400,1.0
119,325,0.8125
120,400,1.0
121,400,1.0
122,398,0.995
123,325,0.8125
124,400,1.0
125,397,0.9925
126,325,0.8125
127,400,1.0
128,0,0.0
129,0,0.0
130,0,0.0
131,225,0.5625
132,0,0.0
133,0,0.0
134,0,0.0
135,0,0.0
136,225,0.5625
137,0,0.0
138,225,0.5625
139,0,0.0
140,0,0.0
141,0,0.0
142,225,0.5625
143,0,0.0
144,0,0.0
145,0,0.0
146,225,0.5625
147,0,0.0
148,0,0.0
149,0,0.0
150,225,0.5625
151,0,0.0
152,0,0.0
153,0,0.0
154,225,0.5625
155,0,0.0
156,0,0.0
157,0,0.0
158,225,0.5625
159,0,0.0
160,225,0.5625
161,0,0.0
162,0,0.0
163,225,0.5625
164,0,0.0
165,0,0.0
166,225,0.5625
167,0,0.0
168,0,0.0
169,0,0.0
170,0,0.0
