Test Iteration,Matching,Percentage
0,400,1.0
1,400,1.0
2,400,1.0
3,400,1.0
4,400,1.0
5,400,1.0
6,393,0.9825
7,400,1.0
8,400,1.0
9,400,1.0
10,400,1.0
11,400,1.0
12,400,1.0
13,400,1.0
14,400,1.0
15,394,0.985
16,400,1.0
17,400,1.0
18,400,1.0
19,400,1.0
20,400,1.0
21,400,1.0
22,400,1.0
23,400,1.0
24,400,1.0
25,400,1.0
26,400,1.0
27,400,1.0
28,400,1.0
29,400,1.0
30,400,1.0
31,400,1.0
32,400,1.0
33,400,1.0
34,393,0.9825
35,400,1.0
36,400,1.0
37,400,1.0
38,400,1.0
39,400,1.0
40,400,1.0
41,400,1.0
42,400,1.0
43,400,1.0
44,400,1.0
45,400,1.0
46,400,1.0
47,400,1.0
48,400,1.0
49,400,1.0
50,400,1.0
51,400,1.0
52,400,1.0
53,400,1.0
54,400,1.0
55,400,1.0
56,400,1.0
57,400,1.0
58,400,1.0
59,393,0.9825
60,400,1.0
61,400,1.0
62,400,1.0
63,400,1.0
64,400,1.0
65,400,1.0
66,394,0.985
67,400,1.0
68,400,1.0
69,400,1.0
70,400,1.0
71,400,1.0
72,400,1.0
73,400,1.0
74,394,0.985
75,400,1.0
76,400,1.0
77,400,1.0
78,400,1.0
79,400,1.0
80,400,1.0
81,400,1.0
82,393,0.9825
83,400,1.0
84,400,1.0
85,400,1.0
86,400,1.0
87,400,1.0
88,400,1.0
89,400,1.0
90,400,1.0
91,400,1.0
92,400,1.0
93,400,1.0
94,400,1.0
95,400,1.0
96,400,1.0
97,400,1.0
98,400,1.0
99,400,1.0
100,400,1.0
101,400,1.0
102,400,1.0
103,400,1.0
104,400,1.0
105,400,1.0
106,400,1.0
107,400,1.0
108,394,0.985
109,400,1.0
110,400,1.0
111,400,1.0
112,400,1.0
113,400,1.0
114,400,1.0
115,400,1.0
116,400,1.0
117,400,1.0
118,400,1.0
119,400,1.0
120,400,1.0
121,400,1.0
122,400,1.0
123,400,1.0
124,400,1.0
125,400,1.0
126,400,1.0
127,400,1.0
128,400,1.0
129,394,0.985
130,400,1.0
131,400,1.0
132,394,0.985
133,400,1.0
134,400,1.0
135,400,1.0
136,400,1.0
137,400,1.0
138,400,1.0
139,400,1.0
140,394,0.985
141,400,1.0
142,400,1.0
143,400,1.0
144,400,1.0
145,400,1.0
146,400,1.0
147,400,1.0
148,394,0.985
149,400,1.0
150,400,1.0
151,400,1.0
152,400,1.0
153,400,1.0
154,400,1.0
155,400,1.0
156,400,1.0
157,400,1.0
158,400,1.0
159,400,1.0
160,400,1.0
161,400,1.0
162,400,1.0
163,400,1.0
164,400,1.0
165,400,1.0
166,400,1.0
167,400,1.0
168,394,0.985
169,400,1.0
170,400,1.0
171,400,1.0
172,400,1.0
173,400,1.0
174,400,1.0
175,400,1.0
176,400,1.0
177,400,1.0
178,400,1.0
179,400,1.0
180,400,1.0
181,400,1.0
