Test Iteration,Matching,Percentage
0,200,1.0
1,200,1.0
2,200,1.0
3,200,1.0
4,200,1.0
5,200,1.0
6,200,1.0
7,200,1.0
8,200,1.0
9,200,1.0
10,200,1.0
11,200,1.0
12,200,1.0
13,200,1.0
14,200,1.0
15,200,1.0
16,200,1.0
17,200,1.0
18,200,1.0
19,200,1.0
20,200,1.0
21,200,1.0
22,200,1.0
23,200,1.0
24,200,1.0
25,200,1.0
26,200,1.0
27,200,1.0
28,200,1.0
29,200,1.0
30,200,1.0
31,200,1.0
32,200,1.0
33,200,1.0
34,200,1.0
35,200,1.0
36,200,1.0
37,200,1.0
38,200,1.0
39,200,1.0
40,200,1.0
41,200,1.0
42,200,1.0
43,200,1.0
44,200,1.0
45,200,1.0
46,200,1.0
47,200,1.0
48,200,1.0
49,200,1.0
50,200,1.0
51,200,1.0
52,200,1.0
53,200,1.0
54,200,1.0
55,200,1.0
56,200,1.0
57,200,1.0
58,200,1.0
59,200,1.0
60,200,1.0
61,200,1.0
62,200,1.0
63,200,1.0
64,200,1.0
65,200,1.0
66,200,1.0
67,200,1.0
68,200,1.0
69,200,1.0
70,200,1.0
71,200,1.0
72,200,1.0
73,200,1.0
74,200,1.0
75,200,1.0
76,200,1.0
77,200,1.0
78,200,1.0
79,200,1.0
80,200,1.0
81,200,1.0
82,200,1.0
83,200,1.0
84,200,1.0
85,200,1.0
86,200,1.0
87,200,1.0
88,200,1.0
89,200,1.0
90,200,1.0
91,200,1.0
92,200,1.0
93,200,1.0
94,200,1.0
95,200,1.0
96,200,1.0
97,200,1.0
98,200,1.0
99,200,1.0
100,200,1.0
101,200,1.0
102,200,1.0
103,200,1.0
104,200,1.0
105,200,1.0
106,200,1.0
107,200,1.0
108,200,1.0
109,200,1.0
110,200,1.0
111,200,1.0
112,200,1.0
113,200,1.0
114,200,1.0
115,200,1.0
116,200,1.0
117,200,1.0
118,200,1.0
119,200,1.0
120,200,1.0
121,200,1.0
122,200,1.0
123,200,1.0
124,200,1.0
125,200,1.0
126,200,1.0
127,200,1.0
128,200,1.0
129,125,0.625
130,125,0.625
131,126,0.63
132,200,1.0
133,125,0.625
134,125,0.625
135,125,0.625
136,125,0.625
137,125,0.625
138,126,0.63
139,200,1.0
140,125,0.625
141,125,0.625
142,125,0.625
143,125,0.625
144,125,0.625
145,126,0.63
146,125,0.625
147,125,0.625
148,125,0.625
149,125,0.625
150,125,0.625
151,125,0.625
152,125,0.625
153,125,0.625
154,125,0.625
155,125,0.625
156,125,0.625
157,125,0.625
158,125,0.625
159,125,0.625
160,125,0.625
161,125,0.625
162,125,0.625
163,125,0.625
164,125,0.625
165,125,0.625
166,125,0.625
167,125,0.625
168,200,1.0
169,125,0.625
170,200,1.0
171,125,0.625
172,125,0.625
173,200,1.0
174,125,0.625
175,125,0.625
176,125,0.625
177,200,1.0
178,126,0.63
179,126,0.63
180,125,0.625
181,125,0.625
182,200,1.0
183,125,0.625
184,125,0.625
185,125,0.625
186,125,0.625
187,125,0.625
188,200,1.0
189,125,0.625
190,125,0.625
191,125,0.625
192,126,0.63
193,126,0.63
194,125,0.625
195,125,0.625
196,125,0.625
197,125,0.625
198,125,0.625
199,125,0.625
200,125,0.625
201,125,0.625
202,125,0.625
203,125,0.625
204,125,0.625
205,125,0.625
206,125,0.625
207,126,0.63
208,125,0.625
209,125,0.625
210,125,0.625
211,125,0.625
212,125,0.625
213,125,0.625
214,125,0.625
215,125,0.625
216,125,0.625
217,125,0.625
218,125,0.625
219,125,0.625
220,125,0.625
221,125,0.625
222,125,0.625
223,200,1.0
224,125,0.625
225,200,1.0
226,125,0.625
227,125,0.625
228,200,1.0
229,125,0.625
230,125,0.625
231,125,0.625
232,200,1.0
233,125,0.625
234,125,0.625
235,125,0.625
236,125,0.625
237,200,1.0
238,125,0.625
239,125,0.625
240,125,0.625
241,125,0.625
242,125,0.625
243,200,1.0
244,126,0.63
245,126,0.63
246,125,0.625
247,125,0.625
248,125,0.625
249,125,0.625
250,200,1.0
251,125,0.625
252,125,0.625
253,125,0.625
254,125,0.625
255,125,0.625
256,200,1.0
257,200,1.0
258,200,1.0
259,200,1.0
260,200,1.0
261,200,1.0
262,200,1.0
263,200,1.0
264,200,1.0
265,200,1.0
266,200,1.0
267,200,1.0
268,200,1.0
269,200,1.0
270,200,1.0
271,200,1.0
272,200,1.0
273,200,1.0
274,200,1.0
275,200,1.0
276,200,1.0
277,200,1.0
278,200,1.0
279,200,1.0
280,200,1.0
281,200,1.0
282,200,1.0
283,200,1.0
284,200,1.0
285,200,1.0
286,200,1.0
287,200,1.0
288,200,1.0
289,200,1.0
290,200,1.0
291,200,1.0
292,200,1.0
293,200,1.0
294,200,1.0
295,200,1.0
296,200,1.0
297,200,1.0
298,200,1.0
299,200,1.0
300,200,1.0
301,200,1.0
302,200,1.0
303,200,1.0
304,200,1.0
305,200,1.0
306,200,1.0
307,200,1.0
308,200,1.0
309,200,1.0
310,200,1.0
311,200,1.0
312,200,1.0
313,200,1.0
314,200,1.0
315,200,1.0
316,200,1.0
317,200,1.0
318,200,1.0
319,200,1.0
320,200,1.0
321,200,1.0
322,200,1.0
323,200,1.0
324,200,1.0
325,200,1.0
326,200,1.0
327,200,1.0
328,200,1.0
329,200,1.0
330,200,1.0
331,200,1.0
332,200,1.0
333,200,1.0
334,200,1.0
335,200,1.0
336,200,1.0
337,200,1.0
338,200,1.0
339,200,1.0
340,200,1.0
341,200,1.0
342,200,1.0
343,200,1.0
344,200,1.0
345,200,1.0
346,200,1.0
347,200,1.0
348,200,1.0
349,200,1.0
350,200,1.0
351,200,1.0
352,200,1.0
353,200,1.0
354,200,1.0
355,200,1.0
356,200,1.0
357,200,1.0
358,200,1.0
359,200,1.0
360,200,1.0
361,200,1.0
362,200,1.0
363,200,1.0
364,200,1.0
365,200,1.0
366,200,1.0
367,200,1.0
368,200,1.0
369,200,1.0
370,200,1.0
371,200,1.0
372,200,1.0
373,200,1.0
374,200,1.0
375,200,1.0
376,200,1.0
377,200,1.0
378,200,1.0
379,200,1.0
380,200,1.0
381,200,1.0
382,200,1.0
383,200,1.0
384,200,1.0
385,125,0.625
386,125,0.625
387,126,0.63
388,200,1.0
389,125,0.625
390,125,0.625
391,125,0.625
392,125,0.625
393,125,0.625
394,126,0.63
395,200,1.0
396,125,0.625
397,125,0.625
398,125,0.625
399,125,0.625
400,125,0.625
401,126,0.63
402,126,0.63
403,125,0.625
404,125,0.625
405,126,0.63
406,125,0.625
407,125,0.625
408,125,0.625
409,125,0.625
410,125,0.625
411,125,0.625
412,125,0.625
413,125,0.625
414,125,0.625
415,125,0.625
416,125,0.625
417,125,0.625
418,125,0.625
419,125,0.625
420,125,0.625
421,125,0.625
422,125,0.625
423,125,0.625
424,200,1.0
425,125,0.625
426,200,1.0
427,125,0.625
428,125,0.625
429,200,1.0
430,125,0.625
431,125,0.625
432,125,0.625
433,200,1.0
434,126,0.63
435,125,0.625
436,125,0.625
437,125,0.625
438,200,1.0
439,125,0.625
440,125,0.625
441,125,0.625
442,125,0.625
443,125,0.625
444,200,1.0
445,125,0.625
446,125,0.625
447,125,0.625
448,126,0.63
449,126,0.63
450,125,0.625
451,200,1.0
452,125,0.625
453,125,0.625
454,125,0.625
455,125,0.625
456,125,0.625
457,125,0.625
458,125,0.625
459,125,0.625
460,125,0.625
461,125,0.625
462,125,0.625
463,125,0.625
464,125,0.625
465,125,0.625
466,125,0.625
467,125,0.625
468,125,0.625
469,125,0.625
470,125,0.625
471,125,0.625
472,125,0.625
473,125,0.625
474,125,0.625
475,125,0.625
476,125,0.625
477,125,0.625
478,125,0.625
479,125,0.625
480,200,1.0
481,125,0.625
482,200,1.0
483,125,0.625
484,125,0.625
485,200,1.0
486,125,0.625
487,125,0.625
488,125,0.625
489,200,1.0
490,125,0.625
491,125,0.625
492,125,0.625
493,125,0.625
494,200,1.0
495,125,0.625
496,125,0.625
497,125,0.625
498,125,0.625
499,125,0.625
500,200,1.0
501,126,0.63
502,125,0.625
503,125,0.625
504,125,0.625
505,125,0.625
506,125,0.625
507,200,1.0
508,125,0.625
509,125,0.625
510,125,0.625
511,125,0.625
512,200,1.0
513,200,1.0
514,200,1.0
515,200,1.0
516,200,1.0
517,200,1.0
518,200,1.0
519,200,1.0
520,200,1.0
521,200,1.0
522,200,1.0
523,200,1.0
524,200,1.0
525,200,1.0
526,200,1.0
527,200,1.0
528,200,1.0
529,200,1.0
530,200,1.0
531,200,1.0
532,200,1.0
533,200,1.0
534,200,1.0
535,200,1.0
536,200,1.0
537,200,1.0
538,200,1.0
539,200,1.0
540,200,1.0
541,200,1.0
542,200,1.0
543,200,1.0
544,200,1.0
545,200,1.0
546,200,1.0
547,200,1.0
548,200,1.0
549,200,1.0
550,200,1.0
551,200,1.0
552,200,1.0
553,200,1.0
554,200,1.0
555,200,1.0
556,200,1.0
557,200,1.0
558,200,1.0
559,200,1.0
560,200,1.0
561,200,1.0
562,200,1.0
563,200,1.0
564,200,1.0
565,200,1.0
566,200,1.0
567,200,1.0
568,200,1.0
569,200,1.0
570,200,1.0
571,200,1.0
572,200,1.0
573,200,1.0
574,200,1.0
575,200,1.0
576,200,1.0
577,200,1.0
578,200,1.0
579,200,1.0
580,200,1.0
581,200,1.0
582,200,1.0
583,200,1.0
584,200,1.0
585,200,1.0
586,200,1.0
587,200,1.0
588,200,1.0
589,200,1.0
590,200,1.0
591,200,1.0
592,200,1.0
593,200,1.0
594,200,1.0
595,200,1.0
596,200,1.0
597,200,1.0
598,200,1.0
599,200,1.0
600,200,1.0
601,200,1.0
602,200,1.0
603,200,1.0
604,200,1.0
605,200,1.0
606,200,1.0
607,200,1.0
608,200,1.0
609,200,1.0
610,200,1.0
611,200,1.0
612,200,1.0
613,200,1.0
614,200,1.0
615,200,1.0
616,200,1.0
617,200,1.0
618,200,1.0
619,200,1.0
620,200,1.0
