Test Iteration,Matching,Decision
0,200,OK
1,109,Failed
2,200,OK
3,200,OK
4,200,OK
5,200,OK
6,110,Failed
7,110,Failed
8,110,Failed
9,200,OK
10,200,OK
11,200,OK
12,200,OK
13,200,OK
14,200,OK
15,109,Failed
16,109,Failed
17,109,Failed
18,109,Failed
19,109,Failed
20,200,OK
21,109,Failed
22,109,Failed
23,110,Failed
24,109,Failed
25,126,Failed
26,200,OK
27,200,OK
28,200,OK
29,200,OK
30,200,OK
31,200,OK
32,200,OK
33,200,OK
34,200,OK
35,200,OK
36,200,OK
37,200,OK
38,200,OK
39,200,OK
40,200,OK
41,200,OK
42,200,OK
43,200,OK
44,200,OK
45,200,OK
46,200,OK
47,200,OK
48,200,OK
49,200,OK
50,200,OK
51,109,Failed
52,110,Failed
53,200,OK
54,110,Failed
55,110,Failed
56,200,OK
57,200,OK
58,200,OK
59,200,OK
60,200,OK
61,200,OK
62,200,OK
63,200,OK
64,200,OK
65,200,OK
66,200,OK
67,200,OK
68,200,OK
69,200,OK
70,200,OK
71,200,OK
72,200,OK
73,200,OK
74,200,OK
75,200,OK
76,200,OK
77,200,OK
78,200,OK
79,200,OK
80,200,OK
81,200,OK
82,200,OK
83,200,OK
84,200,OK
85,200,OK
86,200,OK
87,200,OK
88,200,OK
89,200,OK
90,200,OK
91,200,OK
92,200,OK
93,200,OK
94,200,OK
95,200,OK
96,200,OK
97,200,OK
98,200,OK
99,200,OK
100,200,OK
101,200,OK
102,200,OK
103,200,OK
104,200,OK
105,200,OK
106,200,OK
107,200,OK
108,110,Failed
109,110,Failed
110,109,Failed
111,200,OK
112,200,OK
113,200,OK
114,200,OK
115,200,OK
116,200,OK
117,200,OK
118,200,OK
119,200,OK
120,200,OK
121,200,OK
122,200,OK
123,200,OK
124,200,OK
125,200,OK
126,200,OK
127,200,OK
128,200,OK
129,200,OK
130,200,OK
131,200,OK
132,200,OK
133,200,OK
134,200,OK
135,200,OK
136,200,OK
137,200,OK
138,200,OK
139,200,OK
140,200,OK
141,200,OK
142,200,OK
143,200,OK
144,200,OK
145,200,OK
146,200,OK
147,200,OK
148,200,OK
149,200,OK
150,200,OK
151,200,OK
152,200,OK
153,200,OK
154,200,OK
155,200,OK
156,200,OK
157,200,OK
158,200,OK
159,200,OK
160,200,OK
161,200,OK
162,110,Failed
163,110,Failed
164,109,Failed
165,110,Failed
166,110,Failed
167,109,Failed
168,200,OK
169,200,OK
170,200,OK
171,200,OK
172,200,OK
173,200,OK
174,200,OK
175,200,OK
176,200,OK
177,200,OK
178,200,OK
179,200,OK
180,200,OK
181,200,OK
182,200,OK
183,200,OK
184,200,OK
185,200,OK
186,200,OK
187,200,OK
188,200,OK
189,200,OK
190,200,OK
191,200,OK
192,200,OK
193,200,OK
194,200,OK
195,200,OK
196,200,OK
197,200,OK
198,200,OK
199,200,OK
200,200,OK
201,200,OK
202,200,OK
203,200,OK
204,200,OK
205,200,OK
206,200,OK
207,200,OK
208,200,OK
209,200,OK
210,200,OK
211,200,OK
212,200,OK
213,200,OK
214,200,OK
215,200,OK
216,200,OK
217,200,OK
218,110,Failed
219,200,OK
220,110,Failed
221,109,Failed
222,110,Failed
223,110,Failed
224,200,OK
225,200,OK
226,200,OK
227,200,OK
228,200,OK
229,200,OK
230,200,OK
