Test Iteration,Matching,Percentage
0,335,0.9571428571428572
1,350,1.0
2,350,1.0
3,350,1.0
4,350,1.0
5,350,1.0
6,350,1.0
7,350,1.0
8,350,1.0
9,350,1.0
10,350,1.0
11,350,1.0
12,350,1.0
13,350,1.0
14,350,1.0
15,350,1.0
16,350,1.0
17,350,1.0
18,350,1.0
19,350,1.0
20,350,1.0
21,350,1.0
22,350,1.0
23,350,1.0
24,350,1.0
25,350,1.0
26,350,1.0
27,350,1.0
28,350,1.0
29,350,1.0
30,350,1.0
31,350,1.0
32,350,1.0
33,350,1.0
34,297,0.8485714285714285
35,297,0.8485714285714285
36,350,1.0
37,297,0.8485714285714285
38,350,1.0
39,350,1.0
40,297,0.8485714285714285
41,350,1.0
42,350,1.0
43,350,1.0
44,297,0.8485714285714285
45,350,1.0
46,350,1.0
47,350,1.0
48,350,1.0
49,297,0.8485714285714285
50,350,1.0
51,350,1.0
52,350,1.0
53,336,0.96
54,350,1.0
55,341,0.9742857142857143
56,350,1.0
57,350,1.0
58,350,1.0
59,350,1.0
60,350,1.0
61,350,1.0
62,350,1.0
63,350,1.0
64,350,1.0
65,350,1.0
66,350,1.0
67,350,1.0
68,350,1.0
69,350,1.0
70,350,1.0
71,350,1.0
72,350,1.0
73,350,1.0
74,350,1.0
75,350,1.0
76,350,1.0
77,350,1.0
78,350,1.0
79,350,1.0
80,350,1.0
81,350,1.0
82,350,1.0
83,350,1.0
84,350,1.0
85,350,1.0
86,350,1.0
87,350,1.0
88,350,1.0
89,350,1.0
90,297,0.8485714285714285
91,297,0.8485714285714285
92,350,1.0
93,297,0.8485714285714285
94,350,1.0
95,350,1.0
96,297,0.8485714285714285
97,350,1.0
98,350,1.0
99,350,1.0
100,297,0.8485714285714285
101,350,1.0
102,350,1.0
103,350,1.0
104,350,1.0
105,297,0.8485714285714285
106,350,1.0
107,350,1.0
108,350,1.0
109,336,0.96
110,350,1.0
111,341,0.9742857142857143
112,350,1.0
113,350,1.0
114,350,1.0
115,350,1.0
116,350,1.0
117,350,1.0
118,350,1.0
119,350,1.0
120,350,1.0
121,350,1.0
122,350,1.0
123,350,1.0
124,350,1.0
125,350,1.0
126,350,1.0
127,350,1.0
128,350,1.0
129,350,1.0
130,350,1.0
131,350,1.0
132,350,1.0
133,350,1.0
134,350,1.0
135,350,1.0
136,350,1.0
137,350,1.0
138,350,1.0
139,350,1.0
140,350,1.0
141,350,1.0
