Test Iteration,Matching,Percentage
0,350,1.0
1,350,1.0
2,350,1.0
3,350,1.0
4,350,1.0
5,350,1.0
6,350,1.0
7,350,1.0
8,350,1.0
9,350,1.0
10,350,1.0
11,350,1.0
12,350,1.0
13,350,1.0
14,350,1.0
15,350,1.0
16,350,1.0
17,350,1.0
18,350,1.0
19,350,1.0
20,350,1.0
21,350,1.0
22,350,1.0
23,350,1.0
24,350,1.0
25,350,1.0
26,350,1.0
27,350,1.0
28,350,1.0
29,350,1.0
30,350,1.0
31,350,1.0
32,350,1.0
33,350,1.0
34,350,1.0
35,350,1.0
36,350,1.0
37,350,1.0
38,350,1.0
39,350,1.0
40,350,1.0
41,350,1.0
42,350,1.0
43,350,1.0
44,350,1.0
45,350,1.0
46,350,1.0
47,350,1.0
48,350,1.0
49,350,1.0
50,350,1.0
51,350,1.0
52,350,1.0
53,350,1.0
54,350,1.0
55,350,1.0
56,350,1.0
57,350,1.0
58,350,1.0
59,350,1.0
60,350,1.0
61,350,1.0
62,350,1.0
63,350,1.0
64,350,1.0
65,350,1.0
66,350,1.0
67,350,1.0
68,350,1.0
69,350,1.0
70,350,1.0
71,350,1.0
72,350,1.0
73,350,1.0
74,350,1.0
75,350,1.0
76,350,1.0
77,350,1.0
78,350,1.0
79,350,1.0
80,350,1.0
81,350,1.0
82,350,1.0
83,350,1.0
84,350,1.0
85,350,1.0
86,350,1.0
87,350,1.0
88,350,1.0
89,350,1.0
90,350,1.0
91,350,1.0
92,350,1.0
93,350,1.0
94,350,1.0
95,350,1.0
96,350,1.0
97,350,1.0
98,350,1.0
99,350,1.0
100,350,1.0
101,350,1.0
102,350,1.0
103,350,1.0
104,350,1.0
105,350,1.0
106,350,1.0
107,350,1.0
108,350,1.0
109,350,1.0
110,350,1.0
111,350,1.0
112,350,1.0
113,350,1.0
114,350,1.0
115,350,1.0
116,350,1.0
117,350,1.0
118,350,1.0
119,350,1.0
120,350,1.0
121,350,1.0
122,350,1.0
123,350,1.0
124,350,1.0
125,350,1.0
126,350,1.0
127,350,1.0
128,350,1.0
129,213,0.6085714285714285
130,205,0.5857142857142857
131,205,0.5857142857142857
132,213,0.6085714285714285
133,213,0.6085714285714285
134,213,0.6085714285714285
135,213,0.6085714285714285
136,213,0.6085714285714285
137,213,0.6085714285714285
138,213,0.6085714285714285
139,205,0.5857142857142857
140,213,0.6085714285714285
141,213,0.6085714285714285
142,205,0.5857142857142857
143,213,0.6085714285714285
144,213,0.6085714285714285
145,213,0.6085714285714285
146,205,0.5857142857142857
147,213,0.6085714285714285
148,213,0.6085714285714285
149,213,0.6085714285714285
150,205,0.5857142857142857
151,213,0.6085714285714285
152,213,0.6085714285714285
153,213,0.6085714285714285
154,213,0.6085714285714285
155,213,0.6085714285714285
156,213,0.6085714285714285
157,213,0.6085714285714285
158,213,0.6085714285714285
159,213,0.6085714285714285
160,205,0.5857142857142857
161,205,0.5857142857142857
162,213,0.6085714285714285
163,213,0.6085714285714285
164,205,0.5857142857142857
165,213,0.6085714285714285
166,213,0.6085714285714285
167,205,0.5857142857142857
168,205,0.5857142857142857
169,213,0.6085714285714285
170,213,0.6085714285714285
171,213,0.6085714285714285
172,205,0.5857142857142857
173,205,0.5857142857142857
174,213,0.6085714285714285
175,205,0.5857142857142857
176,205,0.5857142857142857
177,213,0.6085714285714285
178,213,0.6085714285714285
179,205,0.5857142857142857
180,213,0.6085714285714285
181,205,0.5857142857142857
182,213,0.6085714285714285
183,205,0.5857142857142857
184,213,0.6085714285714285
185,213,0.6085714285714285
186,205,0.5857142857142857
187,205,0.5857142857142857
188,213,0.6085714285714285
189,205,0.5857142857142857
190,213,0.6085714285714285
191,205,0.5857142857142857
192,213,0.6085714285714285
193,213,0.6085714285714285
194,213,0.6085714285714285
195,213,0.6085714285714285
196,213,0.6085714285714285
197,213,0.6085714285714285
198,213,0.6085714285714285
199,213,0.6085714285714285
200,213,0.6085714285714285
201,213,0.6085714285714285
202,205,0.5857142857142857
