Test Iteration,Matching,Percentage
0,340,1.0
1,340,1.0
2,340,1.0
3,340,1.0
4,340,1.0
5,340,1.0
6,340,1.0
7,340,1.0
8,340,1.0
9,340,1.0
10,340,1.0
11,340,1.0
12,340,1.0
13,340,1.0
14,340,1.0
15,340,1.0
16,340,1.0
17,340,1.0
18,340,1.0
19,340,1.0
20,340,1.0
21,340,1.0
22,340,1.0
23,340,1.0
24,340,1.0
25,340,1.0
26,340,1.0
27,340,1.0
28,340,1.0
29,340,1.0
30,340,1.0
31,340,1.0
32,340,1.0
33,340,1.0
34,340,1.0
35,340,1.0
36,340,1.0
37,340,1.0
38,340,1.0
39,340,1.0
40,340,1.0
41,340,1.0
42,340,1.0
43,340,1.0
44,340,1.0
45,340,1.0
46,340,1.0
47,340,1.0
48,340,1.0
49,340,1.0
50,340,1.0
51,340,1.0
52,340,1.0
53,340,1.0
54,340,1.0
55,340,1.0
56,340,1.0
57,340,1.0
58,340,1.0
59,340,1.0
60,340,1.0
61,340,1.0
62,340,1.0
63,340,1.0
64,340,1.0
65,340,1.0
66,340,1.0
67,340,1.0
68,340,1.0
69,340,1.0
70,340,1.0
71,340,1.0
72,340,1.0
73,340,1.0
74,340,1.0
75,340,1.0
76,340,1.0
77,340,1.0
78,340,1.0
79,340,1.0
80,340,1.0
81,340,1.0
82,340,1.0
83,340,1.0
84,340,1.0
85,340,1.0
86,340,1.0
87,340,1.0
88,340,1.0
89,340,1.0
90,340,1.0
91,340,1.0
92,340,1.0
93,340,1.0
94,340,1.0
95,340,1.0
96,340,1.0
97,340,1.0
98,340,1.0
99,340,1.0
100,340,1.0
101,340,1.0
102,340,1.0
103,340,1.0
104,340,1.0
105,340,1.0
106,340,1.0
107,340,1.0
108,340,1.0
109,340,1.0
110,340,1.0
111,340,1.0
112,340,1.0
113,340,1.0
114,340,1.0
115,340,1.0
116,340,1.0
117,340,1.0
118,340,1.0
119,340,1.0
120,340,1.0
121,340,1.0
122,340,1.0
123,340,1.0
124,340,1.0
125,340,1.0
126,340,1.0
127,340,1.0
128,340,1.0
129,340,1.0
130,340,1.0
131,340,1.0
132,340,1.0
133,340,1.0
134,340,1.0
135,340,1.0
136,340,1.0
137,340,1.0
138,340,1.0
139,340,1.0
140,340,1.0
141,340,1.0
142,340,1.0
143,340,1.0
144,340,1.0
145,340,1.0
146,340,1.0
147,340,1.0
148,340,1.0
149,340,1.0
150,340,1.0
151,340,1.0
152,340,1.0
153,340,1.0
154,340,1.0
155,340,1.0
156,340,1.0
157,340,1.0
158,340,1.0
159,340,1.0
160,340,1.0
161,340,1.0
162,340,1.0
163,340,1.0
164,340,1.0
165,340,1.0
166,340,1.0
167,340,1.0
168,340,1.0
169,340,1.0
170,340,1.0
171,340,1.0
172,340,1.0
173,340,1.0
174,340,1.0
175,340,1.0
176,340,1.0
177,340,1.0
178,340,1.0
179,340,1.0
180,340,1.0
181,340,1.0
182,340,1.0
183,340,1.0
184,340,1.0
185,340,1.0
186,340,1.0
187,340,1.0
188,340,1.0
189,340,1.0
190,340,1.0
191,340,1.0
192,340,1.0
193,340,1.0
194,340,1.0
195,340,1.0
196,340,1.0
197,340,1.0
198,340,1.0
199,340,1.0
200,340,1.0
201,340,1.0
202,340,1.0
203,340,1.0
204,340,1.0
205,340,1.0
206,340,1.0
207,340,1.0
208,340,1.0
209,340,1.0
210,340,1.0
