Test Iteration,Matching,Percentage
0,800,1.0
1,800,1.0
2,800,1.0
3,800,1.0
4,800,1.0
5,800,1.0
6,800,1.0
7,800,1.0
8,800,1.0
9,800,1.0
10,800,1.0
11,753,0.94125
12,800,1.0
13,800,1.0
14,800,1.0
15,800,1.0
16,800,1.0
17,800,1.0
18,800,1.0
19,800,1.0
20,800,1.0
21,800,1.0
22,800,1.0
23,800,1.0
24,800,1.0
25,800,1.0
26,800,1.0
27,800,1.0
28,800,1.0
29,800,1.0
30,753,0.94125
31,800,1.0
32,800,1.0
33,753,0.94125
34,800,1.0
35,800,1.0
36,800,1.0
37,800,1.0
38,800,1.0
39,800,1.0
40,800,1.0
41,800,1.0
42,800,1.0
43,800,1.0
44,800,1.0
45,800,1.0
46,800,1.0
47,800,1.0
48,753,0.94125
49,800,1.0
50,800,1.0
51,800,1.0
52,800,1.0
53,800,1.0
54,800,1.0
55,800,1.0
56,800,1.0
57,800,1.0
58,800,1.0
59,800,1.0
60,800,1.0
61,800,1.0
62,800,1.0
63,800,1.0
64,800,1.0
65,753,0.94125
66,800,1.0
67,800,1.0
68,800,1.0
69,800,1.0
70,800,1.0
71,800,1.0
72,800,1.0
73,800,1.0
74,800,1.0
75,800,1.0
76,800,1.0
77,661,0.82625
78,753,0.94125
79,800,1.0
80,800,1.0
81,800,1.0
82,753,0.94125
83,305,0.38125
84,369,0.46125
85,305,0.38125
86,225,0.28125
87,0,0.0
88,0,0.0
89,301,0.37625
90,0,0.0
91,0,0.0
92,301,0.37625
93,369,0.46125
94,369,0.46125
95,0,0.0
96,0,0.0
97,301,0.37625
98,369,0.46125
99,369,0.46125
100,0,0.0
101,305,0.38125
102,0,0.0
103,305,0.38125
104,225,0.28125
105,0,0.0
106,0,0.0
107,301,0.37625
108,369,0.46125
109,0,0.0
110,0,0.0
111,301,0.37625
112,369,0.46125
113,369,0.46125
114,0,0.0
115,0,0.0
116,301,0.37625
117,369,0.46125
118,305,0.38125
119,0,0.0
120,305,0.38125
121,225,0.28125
122,0,0.0
123,0,0.0
124,301,0.37625
125,369,0.46125
126,0,0.0
127,0,0.0
128,301,0.37625
129,369,0.46125
130,369,0.46125
131,0,0.0
132,0,0.0
133,301,0.37625
134,369,0.46125
135,369,0.46125
136,0,0.0
137,305,0.38125
138,0,0.0
139,305,0.38125
140,225,0.28125
141,0,0.0
142,0,0.0
143,301,0.37625
144,369,0.46125
145,0,0.0
146,0,0.0
147,301,0.37625
148,369,0.46125
149,369,0.46125
150,0,0.0
151,0,0.0
152,301,0.37625
153,369,0.46125
154,369,0.46125
155,305,0.38125
156,305,0.38125
157,225,0.28125
158,0,0.0
159,0,0.0
160,301,0.37625
