Test Iteration,Matching,Percentage
0,850,1.0
1,850,1.0
2,850,1.0
3,850,1.0
4,850,1.0
5,850,1.0
6,850,1.0
7,850,1.0
8,850,1.0
9,850,1.0
10,850,1.0
11,753,0.8858823529411765
12,850,1.0
13,850,1.0
14,850,1.0
15,850,1.0
16,850,1.0
17,850,1.0
18,850,1.0
19,850,1.0
20,850,1.0
21,850,1.0
22,850,1.0
23,850,1.0
24,850,1.0
25,850,1.0
26,850,1.0
27,850,1.0
28,850,1.0
29,850,1.0
30,753,0.8858823529411765
31,850,1.0
32,850,1.0
33,753,0.8858823529411765
34,850,1.0
35,850,1.0
36,850,1.0
37,850,1.0
38,850,1.0
39,850,1.0
40,850,1.0
41,850,1.0
42,850,1.0
43,850,1.0
44,850,1.0
45,850,1.0
46,850,1.0
47,850,1.0
48,753,0.8858823529411765
49,850,1.0
50,850,1.0
51,850,1.0
52,850,1.0
53,850,1.0
54,850,1.0
55,850,1.0
56,850,1.0
57,850,1.0
58,850,1.0
59,850,1.0
60,850,1.0
61,850,1.0
62,850,1.0
63,850,1.0
64,850,1.0
65,753,0.8858823529411765
66,850,1.0
67,850,1.0
68,850,1.0
69,850,1.0
70,850,1.0
71,850,1.0
72,850,1.0
73,850,1.0
74,850,1.0
75,850,1.0
76,850,1.0
77,850,1.0
78,753,0.8858823529411765
79,850,1.0
80,850,1.0
81,850,1.0
82,753,0.8858823529411765
83,305,0.3588235294117647
84,369,0.43411764705882355
85,305,0.3588235294117647
86,225,0.2647058823529412
87,222,0.2611764705882353
88,0,0.0
89,301,0.35411764705882354
90,222,0.2611764705882353
91,0,0.0
92,301,0.35411764705882354
93,369,0.43411764705882355
94,369,0.43411764705882355
95,222,0.2611764705882353
96,0,0.0
97,301,0.35411764705882354
98,369,0.43411764705882355
99,369,0.43411764705882355
100,0,0.0
101,305,0.3588235294117647
102,0,0.0
103,305,0.3588235294117647
104,225,0.2647058823529412
105,222,0.2611764705882353
106,0,0.0
107,301,0.35411764705882354
108,369,0.43411764705882355
109,222,0.2611764705882353
110,0,0.0
111,301,0.35411764705882354
112,369,0.43411764705882355
113,369,0.43411764705882355
114,222,0.2611764705882353
115,0,0.0
116,301,0.35411764705882354
117,369,0.43411764705882355
118,305,0.3588235294117647
119,0,0.0
120,305,0.3588235294117647
121,225,0.2647058823529412
122,222,0.2611764705882353
123,0,0.0
124,301,0.35411764705882354
125,369,0.43411764705882355
126,222,0.2611764705882353
127,0,0.0
128,301,0.35411764705882354
129,369,0.43411764705882355
130,369,0.43411764705882355
131,220,0.25882352941176473
132,0,0.0
133,301,0.35411764705882354
134,369,0.43411764705882355
135,369,0.43411764705882355
136,0,0.0
137,305,0.3588235294117647
138,0,0.0
139,305,0.3588235294117647
140,225,0.2647058823529412
141,222,0.2611764705882353
142,0,0.0
143,301,0.35411764705882354
144,369,0.43411764705882355
145,220,0.25882352941176473
146,0,0.0
147,301,0.35411764705882354
148,369,0.43411764705882355
149,369,0.43411764705882355
150,220,0.25882352941176473
151,0,0.0
152,301,0.35411764705882354
153,369,0.43411764705882355
154,369,0.43411764705882355
155,305,0.3588235294117647
156,305,0.3588235294117647
157,225,0.2647058823529412
158,222,0.2611764705882353
159,0,0.0
160,301,0.35411764705882354
161,369,0.43411764705882355
162,222,0.2611764705882353
163,0,0.0
164,301,0.35411764705882354
165,369,0.43411764705882355
166,369,0.43411764705882355
167,222,0.2611764705882353
168,0,0.0
169,301,0.35411764705882354
170,369,0.43411764705882355
171,369,0.43411764705882355
172,305,0.3588235294117647
173,0,0.0
174,305,0.3588235294117647
175,850,1.0
176,850,1.0
177,850,1.0
178,850,1.0
179,850,1.0
180,850,1.0
181,850,1.0
182,850,1.0
183,850,1.0
184,848,0.9976470588235294
185,850,1.0
186,850,1.0
187,753,0.8858823529411765
188,850,1.0
189,850,1.0
190,850,1.0
191,850,1.0
192,850,1.0
193,850,1.0
194,850,1.0
195,850,1.0
196,850,1.0
197,850,1.0
198,850,1.0
199,850,1.0
200,850,1.0
201,849,0.9988235294117647
202,850,1.0
203,850,1.0
204,753,0.8858823529411765
205,850,1.0
206,850,1.0
207,850,1.0
208,850,1.0
209,850,1.0
210,850,1.0
211,850,1.0
212,850,1.0
213,850,1.0
214,850,1.0
215,850,1.0
216,850,1.0
217,850,1.0
218,850,1.0
219,848,0.9976470588235294
220,850,1.0
221,850,1.0
222,753,0.8858823529411765
223,850,1.0
224,850,1.0
225,850,1.0
226,850,1.0
227,850,1.0
228,850,1.0
229,850,1.0
230,850,1.0
231,850,1.0
232,850,1.0
233,850,1.0
234,850,1.0
235,850,1.0
236,850,1.0
237,850,1.0
238,850,1.0
239,850,1.0
240,850,1.0
241,753,0.8858823529411765
242,850,1.0
243,850,1.0
244,850,1.0
245,850,1.0
