Test Iteration,Matching,Percentage
0,850,1.0
1,850,1.0
2,850,1.0
3,850,1.0
4,850,1.0
5,850,1.0
6,850,1.0
7,850,1.0
8,850,1.0
9,850,1.0
10,850,1.0
11,850,1.0
12,850,1.0
13,753,0.8858823529411765
14,850,1.0
15,848,0.9976470588235294
16,850,1.0
17,850,1.0
18,753,0.8858823529411765
19,850,1.0
20,850,1.0
21,850,1.0
22,850,1.0
23,850,1.0
24,850,1.0
25,850,1.0
26,850,1.0
27,850,1.0
28,850,1.0
29,850,1.0
30,850,1.0
31,850,1.0
32,753,0.8858823529411765
33,850,1.0
34,850,1.0
35,850,1.0
36,753,0.8858823529411765
37,850,1.0
38,850,1.0
39,850,1.0
40,850,1.0
41,850,1.0
42,850,1.0
43,850,1.0
44,850,1.0
45,850,1.0
46,850,1.0
47,850,1.0
48,850,1.0
49,850,1.0
50,850,1.0
51,850,1.0
52,850,1.0
53,850,1.0
54,753,0.8858823529411765
55,850,1.0
56,850,1.0
57,850,1.0
58,850,1.0
59,850,1.0
60,850,1.0
61,850,1.0
62,850,1.0
63,850,1.0
64,850,1.0
65,850,1.0
66,850,1.0
67,850,1.0
68,850,1.0
69,850,1.0
70,850,1.0
71,753,0.8858823529411765
72,850,1.0
73,850,1.0
74,753,0.8858823529411765
75,850,1.0
76,850,1.0
77,850,1.0
78,850,1.0
79,850,1.0
80,850,1.0
81,850,1.0
82,850,1.0
83,850,1.0
84,850,1.0
85,850,1.0
86,849,0.9988235294117647
87,850,1.0
88,850,1.0
89,753,0.8858823529411765
90,850,1.0
91,850,1.0
92,850,1.0
93,850,1.0
94,850,1.0
95,850,1.0
96,850,1.0
97,850,1.0
98,850,1.0
99,850,1.0
100,850,1.0
101,850,1.0
102,850,1.0
103,850,1.0
104,850,1.0
105,753,0.8858823529411765
106,850,1.0
107,850,1.0
108,850,1.0
109,850,1.0
110,850,1.0
111,850,1.0
112,850,1.0
113,850,1.0
114,850,1.0
115,850,1.0
116,850,1.0
117,850,1.0
118,753,0.8858823529411765
119,850,1.0
120,812,0.9552941176470588
121,850,1.0
122,753,0.8858823529411765
123,850,1.0
124,850,1.0
125,850,1.0
126,850,1.0
127,850,1.0
128,850,1.0
129,850,1.0
130,850,1.0
131,850,1.0
132,850,1.0
133,850,1.0
134,850,1.0
135,850,1.0
136,850,1.0
137,850,1.0
138,850,1.0
139,753,0.8858823529411765
140,850,1.0
141,850,1.0
142,850,1.0
143,850,1.0
144,850,1.0
145,850,1.0
146,850,1.0
147,850,1.0
148,850,1.0
149,850,1.0
150,850,1.0
151,850,1.0
152,850,1.0
153,850,1.0
154,850,1.0
155,850,1.0
156,753,0.8858823529411765
157,850,1.0
158,850,1.0
159,753,0.8858823529411765
160,850,1.0
161,850,1.0
162,850,1.0
163,850,1.0
164,850,1.0
165,850,1.0
166,850,1.0
167,850,1.0
168,850,1.0
169,850,1.0
170,850,1.0
171,850,1.0
172,850,1.0
173,850,1.0
174,753,0.8858823529411765
175,850,1.0
176,850,1.0
177,850,1.0
178,850,1.0
179,850,1.0
180,850,1.0
181,850,1.0
182,850,1.0
183,850,1.0
184,850,1.0
185,848,0.9976470588235294
186,850,1.0
187,850,1.0
188,850,1.0
189,753,0.8858823529411765
190,850,1.0
191,850,1.0
192,850,1.0
193,753,0.8858823529411765
194,850,1.0
195,850,1.0
196,850,1.0
197,850,1.0
198,850,1.0
199,850,1.0
200,849,0.9988235294117647
201,850,1.0
202,850,1.0
203,850,1.0
204,850,1.0
205,753,0.8858823529411765
206,850,1.0
207,850,1.0
208,850,1.0
209,850,1.0
210,753,0.8858823529411765
211,850,1.0
212,850,1.0
213,850,1.0
214,850,1.0
215,850,1.0
216,850,1.0
217,850,1.0
218,850,1.0
219,850,1.0
220,850,1.0
221,850,1.0
222,850,1.0
223,850,1.0
224,850,1.0
225,850,1.0
226,850,1.0
227,850,1.0
228,753,0.8858823529411765
229,850,1.0
230,850,1.0
231,753,0.8858823529411765
232,850,1.0
233,850,1.0
234,850,1.0
235,850,1.0
236,850,1.0
237,850,1.0
238,850,1.0
239,850,1.0
240,850,1.0
241,753,0.8858823529411765
242,850,1.0
243,850,1.0
244,850,1.0
245,850,1.0
246,753,0.8858823529411765
247,850,1.0
248,753,0.8858823529411765
249,850,1.0
250,850,1.0
251,850,1.0
252,850,1.0
253,850,1.0
254,850,1.0
255,850,1.0
256,850,1.0
257,850,1.0
258,850,1.0
259,850,1.0
260,850,1.0
261,850,1.0
262,850,1.0
263,753,0.8858823529411765
264,850,1.0
265,850,1.0
266,850,1.0
267,850,1.0
268,850,1.0
269,850,1.0
270,850,1.0
271,850,1.0
272,850,1.0
273,850,1.0
274,850,1.0
275,850,1.0
276,753,0.8858823529411765
277,850,1.0
278,812,0.9552941176470588
279,850,1.0
