Test Iteration,Matching,Decision
0,700,OK
1,700,OK
2,700,OK
3,700,OK
4,700,OK
5,593,OK
6,700,OK
7,700,OK
8,700,OK
9,700,OK
10,593,OK
11,700,OK
12,700,OK
13,700,OK
14,700,OK
15,700,OK
16,700,OK
17,700,OK
18,700,OK
19,700,OK
20,700,OK
21,700,OK
22,700,OK
23,700,OK
24,593,OK
25,305,Failed
26,700,OK
27,700,OK
28,700,OK
29,593,OK
30,700,OK
31,700,OK
32,597,OK
33,700,OK
34,700,OK
35,700,OK
36,700,OK
37,700,OK
38,700,OK
39,700,OK
40,700,OK
41,700,OK
42,593,OK
43,700,OK
44,700,OK
45,700,OK
46,700,OK
47,593,OK
48,700,OK
49,700,OK
50,700,OK
51,700,OK
52,700,OK
53,700,OK
54,700,OK
55,700,OK
56,700,OK
57,700,OK
58,700,OK
59,593,OK
60,700,OK
61,700,OK
62,700,OK
63,700,OK
64,593,OK
65,700,OK
66,700,OK
67,700,OK
68,700,OK
69,700,OK
70,700,OK
71,700,OK
72,700,OK
73,700,OK
74,700,OK
75,700,OK
76,593,OK
77,661,OK
78,700,OK
79,700,OK
80,662,OK
81,593,OK
82,700,OK
83,597,OK
84,700,OK
85,700,OK
86,700,OK
87,700,OK
88,700,OK
89,700,OK
90,700,OK
91,700,OK
92,593,OK
93,700,OK
94,700,OK
95,700,OK
96,700,OK
97,593,OK
98,700,OK
99,700,OK
100,700,OK
101,700,OK
102,700,OK
103,700,OK
104,700,OK
105,700,OK
106,700,OK
107,700,OK
108,700,OK
109,700,OK
110,700,OK
111,593,OK
112,700,OK
113,700,OK
114,700,OK
115,700,OK
116,593,OK
117,700,OK
118,700,OK
119,700,OK
120,700,OK
121,700,OK
122,700,OK
123,700,OK
124,700,OK
125,700,OK
126,700,OK
127,700,OK
128,593,OK
129,700,OK
130,700,OK
131,700,OK
132,700,OK
133,593,OK
134,700,OK
135,700,OK
136,700,OK
137,700,OK
138,700,OK
139,700,OK
140,700,OK
141,700,OK
142,700,OK
143,700,OK
144,700,OK
145,700,OK
146,700,OK
147,593,OK
148,700,OK
149,700,OK
150,700,OK
151,700,OK
152,593,OK
153,700,OK
154,700,OK
155,700,OK
156,700,OK
157,700,OK
158,700,OK
159,700,OK
160,700,OK
161,700,OK
162,700,OK
163,700,OK
164,593,OK
165,700,OK
166,700,OK
167,700,OK
168,700,OK
169,593,OK
170,700,OK
171,700,OK
172,700,OK
173,700,OK
174,700,OK
175,700,OK
176,700,OK
177,700,OK
178,700,OK
179,700,OK
180,700,OK
181,593,OK
182,700,OK
183,700,OK
184,700,OK
185,700,OK
186,593,OK
187,700,OK
188,700,OK
189,700,OK
190,700,OK
191,700,OK
192,700,OK
193,700,OK
194,700,OK
195,661,OK
196,700,OK
197,700,OK
198,700,OK
199,700,OK
200,700,OK
201,699,OK
202,700,OK
203,593,OK
204,700,OK
205,700,OK
206,700,OK
207,700,OK
208,700,OK
209,700,OK
210,700,OK
211,700,OK
212,661,OK
213,700,OK
214,700,OK
215,700,OK
216,593,OK
217,700,OK
218,700,OK
219,700,OK
220,700,OK
221,593,OK
222,700,OK
223,700,OK
224,700,OK
225,700,OK
226,700,OK
227,700,OK
228,700,OK
229,700,OK
230,700,OK
231,700,OK
232,700,OK
233,700,OK
234,700,OK
235,593,OK
236,700,OK
237,700,OK
238,700,OK
239,700,OK
240,593,OK
241,700,OK
242,700,OK
243,700,OK
244,700,OK
245,700,OK
246,700,OK
247,700,OK
248,700,OK
249,700,OK
250,700,OK
251,700,OK
252,593,OK
253,700,OK
254,700,OK
255,700,OK
256,700,OK
257,700,OK
258,700,OK
259,700,OK
260,700,OK
261,593,OK
262,700,OK
263,700,OK
264,700,OK
265,700,OK
266,593,OK
267,700,OK
268,700,OK
269,700,OK
270,700,OK
271,700,OK
272,700,OK
273,700,OK
274,700,OK
275,700,OK
276,700,OK
277,700,OK
278,700,OK
279,700,OK
280,593,OK
281,305,Failed
282,700,OK
283,700,OK
284,700,OK
285,593,OK
286,700,OK
287,700,OK
288,597,OK
289,700,OK
290,700,OK
291,700,OK
292,700,OK
