Test Iteration,Matching,Decision
0,520,OK
1,520,OK
2,520,OK
3,520,OK
4,520,OK
5,520,OK
6,520,OK
7,520,OK
8,520,OK
9,520,OK
10,493,OK
11,520,OK
12,520,OK
13,520,OK
14,520,OK
15,520,OK
16,520,OK
17,520,OK
18,520,OK
19,520,OK
20,493,OK
21,520,OK
22,520,OK
23,520,OK
24,520,OK
25,0,Failed
26,520,OK
27,520,OK
28,520,OK
29,520,OK
30,520,OK
31,520,OK
32,520,OK
33,520,OK
34,520,OK
35,520,OK
36,493,OK
37,520,OK
38,520,OK
39,520,OK
40,520,OK
41,520,OK
42,520,OK
43,520,OK
44,520,OK
45,520,OK
46,493,OK
47,520,OK
48,520,OK
49,520,OK
50,520,OK
51,520,OK
52,520,OK
53,520,OK
54,520,OK
55,520,OK
56,520,OK
57,520,OK
58,520,OK
59,520,OK
60,520,OK
61,520,OK
62,493,OK
63,520,OK
64,520,OK
65,520,OK
66,520,OK
67,520,OK
68,520,OK
69,520,OK
70,520,OK
71,520,OK
72,493,OK
73,520,OK
74,520,OK
75,520,OK
76,520,OK
77,520,OK
78,520,OK
79,520,OK
80,520,OK
81,520,OK
82,520,OK
83,520,OK
84,520,OK
85,520,OK
86,520,OK
87,520,OK
88,493,OK
89,520,OK
90,520,OK
91,520,OK
92,520,OK
93,520,OK
94,520,OK
95,520,OK
96,520,OK
97,520,OK
98,493,OK
99,520,OK
100,520,OK
101,520,OK
102,520,OK
103,520,OK
104,520,OK
105,520,OK
106,520,OK
107,520,OK
108,520,OK
109,520,OK
110,520,OK
111,520,OK
112,520,OK
113,520,OK
114,493,OK
115,520,OK
116,520,OK
117,520,OK
118,520,OK
119,520,OK
120,520,OK
121,520,OK
122,520,OK
123,520,OK
124,493,OK
125,520,OK
126,520,OK
127,520,OK
128,520,OK
129,520,OK
130,520,OK
131,520,OK
132,520,OK
133,520,OK
134,520,OK
135,520,OK
136,520,OK
137,520,OK
138,520,OK
139,520,OK
140,493,OK
141,520,OK
142,520,OK
143,520,OK
144,520,OK
145,520,OK
146,520,OK
147,520,OK
148,520,OK
149,520,OK
150,493,OK
151,520,OK
152,520,OK
153,520,OK
154,520,OK
155,520,OK
156,520,OK
157,520,OK
