Test Iteration,Matching,Percentage
0,400,1.0
1,382,0.955
2,400,1.0
3,357,0.8925
4,354,0.885
5,400,1.0
6,400,1.0
7,382,0.955
8,400,1.0
9,357,0.8925
10,353,0.8825
11,400,1.0
12,400,1.0
13,382,0.955
14,400,1.0
15,400,1.0
16,400,1.0
17,382,0.955
18,400,1.0
19,357,0.8925
20,357,0.8925
21,400,1.0
22,400,1.0
23,400,1.0
24,382,0.955
25,400,1.0
26,400,1.0
27,382,0.955
28,400,1.0
29,357,0.8925
30,354,0.885
31,400,1.0
32,400,1.0
33,382,0.955
34,400,1.0
35,357,0.8925
36,353,0.8825
37,400,1.0
38,400,1.0
39,382,0.955
40,400,1.0
41,400,1.0
42,400,1.0
43,382,0.955
44,400,1.0
45,357,0.8925
46,357,0.8925
47,400,1.0
48,400,1.0
49,400,1.0
50,381,0.9525
51,400,1.0
52,400,1.0
53,382,0.955
54,400,1.0
55,357,0.8925
56,354,0.885
57,400,1.0
58,400,1.0
59,382,0.955
60,400,1.0
61,357,0.8925
62,354,0.885
63,400,1.0
64,400,1.0
65,382,0.955
66,400,1.0
67,400,1.0
68,400,1.0
69,382,0.955
70,400,1.0
71,357,0.8925
72,357,0.8925
73,400,1.0
74,400,1.0
75,400,1.0
76,382,0.955
77,400,1.0
78,400,1.0
79,382,0.955
80,400,1.0
81,357,0.8925
82,354,0.885
83,400,1.0
84,400,1.0
85,382,0.955
86,400,1.0
87,357,0.8925
88,357,0.8925
89,400,1.0
90,400,1.0
91,382,0.955
92,400,1.0
93,400,1.0
94,400,1.0
95,382,0.955
96,400,1.0
97,357,0.8925
98,357,0.8925
99,400,1.0
100,400,1.0
101,400,1.0
102,382,0.955
103,400,1.0
104,400,1.0
105,382,0.955
106,400,1.0
107,357,0.8925
108,354,0.885
109,400,1.0
110,400,1.0
111,382,0.955
112,400,1.0
113,357,0.8925
114,353,0.8825
115,400,1.0
116,400,1.0
117,382,0.955
118,400,1.0
119,400,1.0
120,400,1.0
121,381,0.9525
122,400,1.0
123,357,0.8925
124,357,0.8925
125,400,1.0
126,400,1.0
127,400,1.0
128,382,0.955
129,113,0.2825
130,0,0.0
131,0,0.0
132,213,0.5325
133,0,0.0
134,0,0.0
135,0,0.0
136,0,0.0
137,0,0.0
138,213,0.5325
139,0,0.0
140,0,0.0
141,0,0.0
142,0,0.0
143,0,0.0
144,113,0.2825
145,0,0.0
146,0,0.0
147,0,0.0
148,213,0.5325
149,0,0.0
150,0,0.0
151,0,0.0
152,0,0.0
153,0,0.0
154,0,0.0
155,113,0.2825
156,0,0.0
157,0,0.0
158,213,0.5325
159,0,0.0
160,0,0.0
161,0,0.0
162,0,0.0
163,0,0.0
164,213,0.5325
165,0,0.0
166,0,0.0
167,0,0.0
168,0,0.0
169,0,0.0
170,113,0.2825
171,0,0.0
172,0,0.0
173,0,0.0
174,213,0.5325
175,0,0.0
176,0,0.0
177,0,0.0
178,0,0.0
179,0,0.0
180,0,0.0
181,113,0.2825
182,0,0.0
183,0,0.0
184,213,0.5325
185,0,0.0
186,0,0.0
187,0,0.0
188,0,0.0
189,0,0.0
190,213,0.5325
191,0,0.0
192,0,0.0
193,0,0.0
194,0,0.0
195,0,0.0
196,113,0.2825
197,0,0.0
198,0,0.0
199,0,0.0
200,213,0.5325
201,0,0.0
202,0,0.0
203,0,0.0
204,0,0.0
205,0,0.0
206,0,0.0
207,113,0.2825
208,0,0.0
209,0,0.0
210,213,0.5325
211,0,0.0
212,0,0.0
213,0,0.0
214,0,0.0
215,0,0.0
216,213,0.5325
217,0,0.0
218,0,0.0
219,0,0.0
220,0,0.0
221,0,0.0
222,113,0.2825
223,0,0.0
224,0,0.0
225,0,0.0
226,213,0.5325
227,0,0.0
228,0,0.0
229,0,0.0
230,0,0.0
231,0,0.0
232,0,0.0
233,113,0.2825
234,0,0.0
235,0,0.0
236,213,0.5325
237,0,0.0
238,0,0.0
239,0,0.0
240,0,0.0
241,0,0.0
242,213,0.5325
243,0,0.0
244,0,0.0
245,0,0.0
246,0,0.0
247,0,0.0
248,113,0.2825
249,0,0.0
250,0,0.0
251,0,0.0
252,213,0.5325
