Test Iteration,Matching,Decision
0,400,OK
1,382,OK
2,400,OK
3,357,OK
4,354,OK
5,400,OK
6,400,OK
7,397,OK
8,400,OK
9,357,OK
10,354,OK
11,400,OK
12,400,OK
13,382,OK
14,400,OK
15,400,OK
16,400,OK
17,382,OK
18,400,OK
19,357,OK
20,357,OK
21,400,OK
22,400,OK
23,400,OK
24,397,OK
25,113,Failed
26,400,OK
27,382,OK
28,400,OK
29,357,OK
30,354,OK
31,400,OK
32,400,OK
33,382,OK
34,400,OK
35,357,OK
36,354,OK
37,400,OK
38,400,OK
39,382,OK
40,400,OK
41,400,OK
42,400,OK
43,397,OK
44,400,OK
45,357,OK
46,357,OK
47,400,OK
48,400,OK
49,400,OK
50,382,OK
51,400,OK
52,400,OK
53,382,OK
54,400,OK
55,357,OK
56,354,OK
57,400,OK
58,400,OK
59,397,OK
60,400,OK
61,357,OK
62,357,OK
63,400,OK
64,400,OK
65,382,OK
66,400,OK
67,400,OK
68,400,OK
69,382,OK
70,400,OK
71,357,OK
72,357,OK
73,400,OK
74,400,OK
75,400,OK
76,382,OK
77,400,OK
78,400,OK
79,382,OK
80,400,OK
81,357,OK
82,354,OK
83,400,OK
84,400,OK
85,382,OK
86,400,OK
87,357,OK
88,354,OK
89,400,OK
90,400,OK
91,397,OK
92,400,OK
93,400,OK
94,400,OK
95,382,OK
96,400,OK
97,357,OK
98,357,OK
99,400,OK
100,400,OK
101,400,OK
102,382,OK
103,400,OK
104,400,OK
105,382,OK
106,400,OK
107,357,OK
108,354,OK
109,400,OK
110,400,OK
111,382,OK
112,400,OK
113,357,OK
114,354,OK
115,400,OK
116,400,OK
117,397,OK
118,400,OK
119,400,OK
120,400,OK
121,382,OK
122,400,OK
123,357,OK
124,357,OK
125,400,OK
126,400,OK
127,400,OK
128,382,OK
129,400,OK
130,400,OK
131,382,OK
132,400,OK
133,357,OK
134,357,OK
135,400,OK
136,400,OK
137,382,OK
138,400,OK
139,357,OK
140,354,OK
141,400,OK
142,400,OK
143,397,OK
144,400,OK
145,400,OK
146,400,OK
147,397,OK
148,400,OK
149,357,OK
150,357,OK
151,400,OK
152,400,OK
153,400,OK
154,382,OK
155,400,OK
156,400,OK
157,382,OK
158,400,OK
159,357,OK
160,357,OK
161,400,OK
162,400,OK
163,397,OK
164,400,OK
165,357,OK
166,354,OK
167,400,OK
168,400,OK
169,382,OK
170,400,OK
171,400,OK
172,400,OK
173,397,OK
174,400,OK
175,357,OK
176,357,OK
177,400,OK
178,400,OK
179,400,OK
180,382,OK
181,400,OK
182,400,OK
183,382,OK
184,400,OK
185,357,OK
186,354,OK
187,400,OK
188,400,OK
189,397,OK
190,400,OK
191,357,OK
192,354,OK
193,400,OK
194,400,OK
195,397,OK
196,400,OK
197,400,OK
198,400,OK
199,382,OK
200,400,OK
201,357,OK
202,357,OK
203,400,OK
204,400,OK
205,400,OK
206,397,OK
207,400,OK
208,400,OK
209,382,OK
210,400,OK
211,357,OK
212,354,OK
213,400,OK
214,400,OK
215,397,OK
216,400,OK
217,357,OK
218,354,OK
219,400,OK
220,400,OK
221,397,OK
222,400,OK
223,400,OK
224,400,OK
225,382,OK
226,400,OK
227,357,OK
228,357,OK
229,400,OK
230,400,OK
231,400,OK
232,397,OK
233,400,OK
234,400,OK
235,382,OK
236,400,OK
237,357,OK
238,354,OK
239,400,OK
240,400,OK
241,382,OK
242,400,OK
