Test Iteration,Matching,Percentage
0,500,1.0
1,451,0.902
2,389,0.778
3,500,1.0
4,393,0.786
5,451,0.902
6,389,0.778
7,393,0.786
8,389,0.778
9,500,1.0
10,393,0.786
11,451,0.902
12,389,0.778
13,393,0.786
14,389,0.778
15,393,0.786
16,389,0.778
17,500,1.0
18,393,0.786
19,451,0.902
20,389,0.778
21,393,0.786
22,389,0.778
23,393,0.786
24,389,0.778
25,393,0.786
26,389,0.778
27,500,1.0
28,500,1.0
29,500,1.0
30,451,0.902
31,389,0.778
32,500,1.0
33,393,0.786
34,451,0.902
35,389,0.778
36,393,0.786
37,389,0.778
38,500,1.0
39,393,0.786
40,451,0.902
41,389,0.778
42,393,0.786
43,389,0.778
44,393,0.786
45,389,0.778
46,500,1.0
47,393,0.786
48,451,0.902
49,389,0.778
50,393,0.786
51,389,0.778
52,393,0.786
53,389,0.778
54,393,0.786
55,389,0.778
56,500,1.0
57,500,1.0
58,500,1.0
59,451,0.902
60,389,0.778
61,500,1.0
62,393,0.786
63,451,0.902
64,389,0.778
65,500,1.0
66,393,0.786
67,451,0.902
68,389,0.778
69,393,0.786
70,389,0.778
71,393,0.786
72,389,0.778
73,500,1.0
74,393,0.786
75,451,0.902
76,389,0.778
77,393,0.786
78,389,0.778
79,393,0.786
80,389,0.778
81,393,0.786
82,389,0.778
83,500,1.0
84,500,1.0
85,500,1.0
86,451,0.902
87,389,0.778
88,500,1.0
89,393,0.786
90,451,0.902
91,389,0.778
92,393,0.786
93,389,0.778
94,500,1.0
95,393,0.786
96,451,0.902
97,389,0.778
98,393,0.786
99,389,0.778
100,393,0.786
101,389,0.778
102,500,1.0
103,393,0.786
104,451,0.902
105,389,0.778
106,393,0.786
107,389,0.778
108,393,0.786
109,389,0.778
110,393,0.786
111,389,0.778
112,500,1.0
113,500,1.0
114,500,1.0
115,451,0.902
116,389,0.778
117,500,1.0
118,393,0.786
119,451,0.902
120,389,0.778
121,393,0.786
122,389,0.778
123,500,1.0
124,393,0.786
125,451,0.902
126,389,0.778
127,393,0.786
128,389,0.778
129,393,0.786
130,389,0.778
131,500,1.0
132,393,0.786
133,451,0.902
134,389,0.778
135,393,0.786
136,389,0.778
137,393,0.786
138,389,0.778
139,393,0.786
140,389,0.778
141,500,1.0
142,500,1.0
143,500,1.0
144,451,0.902
145,389,0.778
146,500,1.0
147,393,0.786
148,451,0.902
149,389,0.778
150,393,0.786
151,389,0.778
152,500,1.0
153,393,0.786
154,451,0.902
155,389,0.778
156,393,0.786
157,389,0.778
158,393,0.786
159,389,0.778
160,500,1.0
161,393,0.786
162,451,0.902
163,389,0.778
164,393,0.786
165,389,0.778
166,393,0.786
167,389,0.778
168,393,0.786
169,389,0.778
170,500,1.0
171,500,1.0
172,500,1.0
173,451,0.902
174,389,0.778
175,500,1.0
176,393,0.786
177,451,0.902
178,389,0.778
179,393,0.786
180,389,0.778
181,500,1.0
182,393,0.786
183,451,0.902
184,389,0.778
185,393,0.786
186,389,0.778
187,393,0.786
188,389,0.778
189,500,1.0
190,393,0.786
191,451,0.902
192,389,0.778
193,393,0.786
194,389,0.778
195,393,0.786
196,389,0.778
197,393,0.786
198,389,0.778
199,500,1.0
200,500,1.0
201,500,1.0
202,451,0.902
203,389,0.778
204,500,1.0
205,393,0.786
206,451,0.902
207,389,0.778
208,393,0.786
209,389,0.778
210,500,1.0
211,393,0.786
212,451,0.902
213,389,0.778
214,393,0.786
215,389,0.778
216,393,0.786
217,389,0.778
218,500,1.0
219,393,0.786
220,451,0.902
221,389,0.778
222,393,0.786
223,389,0.778
224,393,0.786
225,389,0.778
226,393,0.786
227,389,0.778
228,500,1.0
229,500,1.0
230,500,1.0
231,451,0.902
232,389,0.778
233,500,1.0
234,393,0.786
235,451,0.902
236,389,0.778
237,393,0.786
238,389,0.778
239,500,1.0
240,393,0.786
241,451,0.902
242,389,0.778
243,393,0.786
244,389,0.778
245,393,0.786
246,389,0.778
247,500,1.0
248,393,0.786
249,451,0.902
250,389,0.778
251,393,0.786
252,389,0.778
253,393,0.786
254,389,0.778
255,393,0.786
256,389,0.778
257,500,1.0
258,500,1.0
259,500,1.0
260,451,0.902
261,389,0.778
262,500,1.0
263,393,0.786
264,451,0.902
265,389,0.778
266,393,0.786
267,389,0.778
268,500,1.0
269,393,0.786
270,451,0.902
271,389,0.778
272,393,0.786
273,389,0.778
274,393,0.786
275,389,0.778
276,500,1.0
277,393,0.786
278,451,0.902
279,389,0.778
280,393,0.786
281,389,0.778
282,393,0.786
283,389,0.778
284,393,0.786
285,389,0.778
286,500,1.0
287,500,1.0
288,500,1.0
289,451,0.902
290,389,0.778
291,500,1.0
292,393,0.786
293,451,0.902
294,389,0.778
295,393,0.786
296,389,0.778
297,500,1.0
298,393,0.786
299,451,0.902
300,389,0.778
301,393,0.786
302,389,0.778
303,393,0.786
304,389,0.778
305,500,1.0
306,393,0.786
307,451,0.902
308,389,0.778
309,393,0.786
310,389,0.778
311,393,0.786
312,389,0.778
313,393,0.786
314,389,0.778
315,500,1.0
316,500,1.0
317,500,1.0
318,451,0.902
319,389,0.778
320,500,1.0
321,393,0.786
322,451,0.902
323,389,0.778
324,393,0.786
325,389,0.778
326,500,1.0
327,393,0.786
328,451,0.902
329,389,0.778
330,393,0.786
331,389,0.778
332,393,0.786
333,389,0.778
334,500,1.0
335,393,0.786
336,451,0.902
337,389,0.778
338,393,0.786
339,389,0.778
340,393,0.786
341,389,0.778
342,393,0.786
343,389,0.778
344,500,1.0
345,500,1.0
346,500,1.0
347,451,0.902
348,389,0.778
349,500,1.0
350,393,0.786
351,451,0.902
352,389,0.778
353,393,0.786
354,389,0.778
355,500,1.0
356,393,0.786
357,451,0.902
358,389,0.778
359,393,0.786
360,389,0.778
361,393,0.786
