Test Iteration,Matching,Decision
0,500,OK
1,389,OK
2,392,OK
3,387,OK
4,389,OK
5,392,OK
6,389,OK
7,387,OK
8,393,OK
9,389,OK
10,389,OK
11,387,OK
12,389,OK
13,500,OK
14,500,OK
15,389,OK
16,393,OK
17,389,OK
18,389,OK
19,393,OK
20,389,OK
21,389,OK
22,389,OK
23,393,OK
24,389,OK
25,389,OK
26,389,OK
27,389,OK
28,500,OK
29,500,OK
30,389,OK
31,393,OK
32,389,OK
33,389,OK
34,393,OK
35,389,OK
36,389,OK
37,389,OK
38,355,Failed
39,389,OK
40,389,OK
41,389,OK
42,389,OK
43,500,OK
44,500,OK
45,389,OK
46,393,OK
47,389,OK
48,389,OK
49,393,OK
50,389,OK
51,389,OK
52,389,OK
53,393,OK
54,389,OK
55,389,OK
56,389,OK
57,389,OK
58,500,OK
59,500,OK
60,389,OK
61,393,OK
62,389,OK
63,389,OK
64,393,OK
65,389,OK
66,389,OK
67,389,OK
68,393,OK
69,389,OK
70,389,OK
71,389,OK
72,389,OK
73,500,OK
74,500,OK
75,389,OK
76,393,OK
77,389,OK
78,389,OK
79,393,OK
80,389,OK
81,389,OK
82,389,OK
83,393,OK
84,389,OK
85,389,OK
86,389,OK
87,389,OK
88,500,OK
89,500,OK
90,389,OK
91,393,OK
92,389,OK
93,389,OK
94,393,OK
95,390,OK
96,389,OK
97,389,OK
98,393,OK
99,389,OK
100,389,OK
101,389,OK
102,389,OK
103,500,OK
104,500,OK
105,389,OK
106,393,OK
107,389,OK
108,389,OK
109,393,OK
110,389,OK
111,389,OK
112,389,OK
113,393,OK
114,389,OK
115,389,OK
116,389,OK
117,389,OK
118,500,OK
119,500,OK
120,389,OK
121,393,OK
122,389,OK
123,389,OK
124,393,OK
125,389,OK
126,389,OK
127,389,OK
128,393,OK
129,389,OK
130,389,OK
131,389,OK
132,389,OK
133,500,OK
134,500,OK
135,389,OK
136,392,OK
137,389,OK
138,389,OK
139,393,OK
140,388,OK
141,389,OK
142,387,OK
143,393,OK
144,254,Failed
145,389,OK
146,389,OK
147,389,OK
148,500,OK
149,500,OK
150,389,OK
151,393,OK
152,389,OK
153,389,OK
154,393,OK
155,389,OK
