Test Iteration,Matching,Decision
0,400,OK
1,400,OK
2,389,OK
3,398,OK
4,391,OK
5,400,OK
6,387,OK
7,391,OK
8,389,OK
9,399,OK
10,392,OK
11,400,OK
12,389,OK
13,391,OK
14,388,OK
15,391,OK
16,387,OK
17,399,OK
18,393,OK
19,399,OK
20,388,OK
21,391,OK
22,389,OK
23,392,OK
24,387,OK
25,257,Failed
26,389,OK
27,400,OK
28,400,OK
29,400,OK
30,400,OK
31,389,OK
32,400,OK
33,393,OK
34,400,OK
35,389,OK
36,393,OK
37,389,OK
38,400,OK
39,393,OK
40,400,OK
41,389,OK
42,393,OK
43,389,OK
44,393,OK
45,389,OK
46,400,OK
47,393,OK
48,400,OK
49,389,OK
50,393,OK
51,389,OK
52,393,OK
53,389,OK
54,393,OK
55,389,OK
56,400,OK
57,400,OK
58,400,OK
59,400,OK
60,389,OK
61,400,OK
62,393,OK
63,400,OK
64,389,OK
65,393,OK
66,389,OK
67,400,OK
68,393,OK
69,400,OK
70,389,OK
71,393,OK
72,389,OK
73,393,OK
74,389,OK
75,400,OK
76,393,OK
77,400,OK
78,389,OK
79,393,OK
80,389,OK
81,393,OK
82,389,OK
83,393,OK
84,389,OK
85,400,OK
86,400,OK
87,400,OK
88,400,OK
89,389,OK
90,400,OK
91,393,OK
92,400,OK
93,389,OK
94,393,OK
95,389,OK
96,400,OK
97,393,OK
98,400,OK
99,389,OK
100,393,OK
101,389,OK
102,393,OK
103,389,OK
104,400,OK
105,393,OK
106,400,OK
107,389,OK
108,392,OK
109,389,OK
110,393,OK
111,389,OK
112,393,OK
113,389,OK
114,400,OK
115,400,OK
116,400,OK
117,400,OK
118,389,OK
119,400,OK
120,393,OK
121,400,OK
122,389,OK
123,393,OK
124,389,OK
125,400,OK
126,393,OK
127,400,OK
128,389,OK
129,393,OK
130,389,OK
131,393,OK
132,389,OK
133,400,OK
134,393,OK
135,400,OK
136,389,OK
137,393,OK
138,389,OK
139,393,OK
140,389,OK
141,393,OK
142,389,OK
143,400,OK
144,400,OK
145,400,OK
146,400,OK
147,389,OK
148,400,OK
149,393,OK
150,400,OK
151,389,OK
152,393,OK
153,389,OK
154,400,OK
155,393,OK
156,400,OK
157,389,OK
158,393,OK
159,389,OK
160,393,OK
161,389,OK
162,400,OK
163,393,OK
164,400,OK
165,389,OK
166,393,OK
167,389,OK
168,393,OK
169,389,OK
170,393,OK
171,389,OK
172,400,OK
173,400,OK
174,400,OK
175,400,OK
176,389,OK
177,400,OK
178,393,OK
179,400,OK
180,389,OK
181,393,OK
182,389,OK
183,400,OK
184,393,OK
185,400,OK
186,389,OK
187,393,OK
188,389,OK
189,393,OK
190,389,OK
191,400,OK
192,393,OK
193,400,OK
194,389,OK
195,393,OK
196,389,OK
197,393,OK
198,389,OK
199,393,OK
200,389,OK
201,400,OK
202,400,OK
203,400,OK
204,400,OK
205,389,OK
206,400,OK
207,393,OK
208,400,OK
209,389,OK
210,393,OK
211,389,OK
212,400,OK
213,393,OK
214,400,OK
215,389,OK
216,393,OK
217,389,OK
218,393,OK
219,389,OK
220,400,OK
221,393,OK
222,400,OK
223,389,OK
224,393,OK
225,389,OK
226,393,OK
227,389,OK
228,393,OK
