Test Iteration,Matching,Decision
0,389,OK
1,520,OK
2,451,OK
3,389,OK
4,518,OK
5,392,OK
6,451,OK
7,388,OK
8,391,OK
9,389,OK
10,519,OK
11,392,OK
12,451,OK
13,389,OK
14,391,OK
15,387,OK
16,391,OK
17,387,OK
18,520,OK
19,393,OK
20,450,OK
21,389,OK
22,391,OK
23,389,OK
24,392,OK
25,241,Failed
26,520,OK
27,389,OK
28,520,OK
29,520,OK
30,520,OK
31,451,OK
32,389,OK
33,520,OK
34,393,OK
35,451,OK
36,389,OK
37,393,OK
38,389,OK
39,520,OK
40,393,OK
41,451,OK
42,389,OK
43,393,OK
44,389,OK
45,393,OK
46,389,OK
47,520,OK
48,393,OK
49,451,OK
50,389,OK
51,393,OK
52,389,OK
53,393,OK
54,389,OK
55,393,OK
56,389,OK
57,520,OK
58,520,OK
59,520,OK
60,451,OK
61,389,OK
62,520,OK
63,393,OK
64,451,OK
65,389,OK
66,393,OK
67,389,OK
68,520,OK
69,393,OK
70,451,OK
71,389,OK
72,393,OK
73,389,OK
74,393,OK
75,389,OK
76,520,OK
77,393,OK
78,451,OK
79,389,OK
80,393,OK
81,389,OK
82,393,OK
83,389,OK
84,393,OK
85,389,OK
86,520,OK
87,520,OK
88,520,OK
89,451,OK
90,389,OK
91,520,OK
92,393,OK
93,451,OK
94,389,OK
95,393,OK
96,389,OK
97,520,OK
98,393,OK
99,451,OK
100,389,OK
101,393,OK
102,389,OK
103,393,OK
104,389,OK
105,520,OK
106,393,OK
107,451,OK
108,389,OK
109,393,OK
110,389,OK
111,393,OK
112,389,OK
113,393,OK
114,389,OK
115,520,OK
116,520,OK
117,520,OK
118,451,OK
119,389,OK
120,520,OK
121,393,OK
122,451,OK
123,389,OK
124,393,OK
125,389,OK
126,520,OK
127,393,OK
128,451,OK
129,389,OK
130,393,OK
131,389,OK
132,393,OK
133,389,OK
134,520,OK
135,393,OK
136,451,OK
137,389,OK
138,393,OK
139,389,OK
140,393,OK
141,389,OK
142,393,OK
143,389,OK
144,520,OK
145,520,OK
146,520,OK
147,451,OK
148,389,OK
149,520,OK
150,393,OK
151,451,OK
152,389,OK
153,393,OK
154,389,OK
155,520,OK
156,393,OK
157,451,OK
158,389,OK
159,393,OK
160,389,OK
161,393,OK
162,389,OK
163,520,OK
164,393,OK
165,451,OK
166,389,OK
167,393,OK
168,389,OK
169,393,OK
170,389,OK
171,393,OK
172,389,OK
173,520,OK
174,520,OK
175,520,OK
176,451,OK
177,389,OK
178,520,OK
179,393,OK
180,451,OK
181,389,OK
182,393,OK
183,389,OK
184,520,OK
185,393,OK
186,451,OK
187,389,OK
188,393,OK
189,389,OK
190,393,OK
191,389,OK
192,520,OK
193,393,OK
194,451,OK
195,389,OK
196,393,OK
197,389,OK
198,393,OK
199,389,OK
200,393,OK
201,389,OK
202,520,OK
203,520,OK
204,520,OK
205,451,OK
206,389,OK
207,520,OK
208,393,OK
209,451,OK
210,389,OK
211,393,OK
212,389,OK
213,520,OK
214,393,OK
215,451,OK
216,389,OK
217,393,OK
218,389,OK
219,393,OK
220,389,OK
221,520,OK
222,393,OK
223,451,OK
224,389,OK
225,393,OK
226,389,OK
227,393,OK
228,389,OK
229,393,OK
230,389,OK
231,520,OK
232,520,OK
233,520,OK
234,451,OK
235,389,OK
236,520,OK
237,393,OK
238,451,OK
239,389,OK
240,393,OK
241,389,OK
242,520,OK
243,393,OK
244,451,OK
245,389,OK
246,393,OK
247,389,OK
248,393,OK
249,389,OK
250,520,OK
251,393,OK
252,451,OK
253,389,OK
254,393,OK
255,389,OK
256,520,OK
257,451,OK
258,389,OK
259,518,OK
260,391,OK
261,451,OK
262,387,OK
263,390,OK
264,389,OK
265,519,OK
266,392,OK
267,451,OK
268,389,OK
269,391,OK
270,387,OK
271,391,OK
272,387,OK
273,520,OK
274,393,OK
275,450,OK
276,389,OK
277,391,OK
278,389,OK
279,391,OK
280,386,OK
281,257,Failed
282,389,OK
283,520,OK
284,520,OK
285,520,OK
286,451,OK
287,389,OK
288,520,OK
289,393,OK
290,451,OK
291,389,OK
292,393,OK
293,389,OK
294,520,OK
295,393,OK
296,451,OK
297,389,OK
298,393,OK
299,389,OK
300,393,OK
301,389,OK
302,520,OK
303,393,OK
304,451,OK
305,389,OK
306,393,OK
307,389,OK
308,393,OK
309,389,OK
310,393,OK
311,389,OK
312,520,OK
313,520,OK
314,520,OK
315,451,OK
316,389,OK
317,520,OK
318,393,OK
319,451,OK
320,389,OK
321,393,OK
322,389,OK
323,520,OK
324,393,OK
325,451,OK
326,389,OK
327,393,OK
328,389,OK
329,393,OK
330,389,OK
331,520,OK
332,393,OK
333,451,OK
334,389,OK
335,393,OK
336,389,OK
337,393,OK
338,389,OK
339,393,OK
340,389,OK
341,520,OK
342,520,OK
343,520,OK
344,451,OK
345,389,OK
346,520,OK
347,393,OK
348,451,OK
349,389,OK
350,393,OK
351,389,OK
