Test Iteration,Matching,Decision
0,500,OK
1,500,OK
2,389,OK
3,500,OK
4,389,OK
5,393,OK
6,393,OK
7,393,OK
8,389,OK
9,500,OK
10,500,OK
11,389,OK
12,389,OK
13,393,OK
14,393,OK
15,393,OK
16,389,OK
17,500,OK
18,500,OK
19,500,OK
20,389,OK
21,500,OK
22,389,OK
23,393,OK
24,393,OK
25,393,OK
26,389,OK
27,500,OK
28,500,OK
29,500,OK
30,389,OK
31,500,OK
32,389,OK
33,393,OK
34,393,OK
35,393,OK
36,389,OK
37,500,OK
38,500,OK
39,500,OK
40,389,OK
41,500,OK
42,389,OK
43,393,OK
44,393,OK
45,393,OK
46,389,OK
47,500,OK
48,500,OK
49,500,OK
50,389,OK
51,500,OK
52,389,OK
53,393,OK
54,393,OK
55,393,OK
56,389,OK
57,500,OK
58,500,OK
59,500,OK
60,389,OK
61,500,OK
62,389,OK
63,393,OK
64,393,OK
65,393,OK
66,389,OK
67,500,OK
68,500,OK
69,498,OK
70,389,OK
71,499,OK
72,389,OK
73,392,OK
74,393,OK
75,393,OK
76,389,OK
77,500,OK
78,500,OK
79,500,OK
80,389,OK
81,500,OK
82,389,OK
83,393,OK
84,393,OK
85,393,OK
86,389,OK
87,500,OK
88,500,OK
89,500,OK
90,389,OK
91,500,OK
92,389,OK
93,393,OK
94,393,OK
95,393,OK
96,389,OK
97,500,OK
98,500,OK
99,500,OK
100,389,OK
101,500,OK
102,389,OK
103,393,OK
104,393,OK
105,393,OK
106,389,OK
107,500,OK
108,500,OK
109,500,OK
110,389,OK
111,500,OK
112,389,OK
113,393,OK
114,393,OK
115,393,OK
116,389,OK
117,500,OK
118,500,OK
119,500,OK
120,389,OK
121,500,OK
122,389,OK
123,393,OK
124,393,OK
125,393,OK
126,389,OK
127,500,OK
128,500,OK
129,500,OK
130,389,OK
131,500,OK
132,389,OK
133,393,OK
134,393,OK
135,393,OK
136,389,OK
137,500,OK
138,500,OK
139,500,OK
140,389,OK
141,500,OK
142,389,OK
143,393,OK
144,393,OK
145,393,OK
146,389,OK
147,500,OK
148,500,OK
149,500,OK
150,389,OK
151,500,OK
152,389,OK
153,393,OK
154,393,OK
155,393,OK
156,389,OK
157,500,OK
158,500,OK
159,499,OK
160,389,OK
161,499,OK
162,389,OK
163,258,Failed
164,393,OK
165,393,OK
166,389,OK
167,500,OK
168,500,OK
169,500,OK
170,389,OK
171,500,OK
172,389,OK
173,393,OK
174,393,OK
175,393,OK
176,389,OK
177,500,OK
178,500,OK
179,500,OK
180,389,OK
181,500,OK
182,389,OK
183,393,OK
184,393,OK
185,393,OK
186,389,OK
187,500,OK
188,500,OK
189,500,OK
190,389,OK
191,500,OK
192,389,OK
193,500,OK
194,500,OK
195,451,OK
196,393,OK
197,393,OK
198,393,OK
199,393,OK
200,389,OK
201,451,OK
202,393,OK
203,389,OK
204,500,OK
205,500,OK
206,389,OK
207,500,OK
208,393,OK
209,389,OK
210,451,OK
211,393,OK
212,500,OK
213,161,Failed
214,451,OK
215,393,OK
216,393,OK
217,393,OK
218,393,OK
219,389,OK
220,451,OK
221,389,OK
222,393,OK
223,500,OK
224,500,OK
225,500,OK
226,389,OK
227,500,OK
228,389,OK
229,393,OK
230,393,OK
231,393,OK
232,389,OK
233,500,OK
234,500,OK
235,500,OK
236,389,OK
237,500,OK
238,389,OK
239,393,OK
240,393,OK
241,389,OK
242,393,OK
243,389,OK
244,500,OK
245,498,OK
246,389,OK
247,499,OK
248,389,OK
249,392,OK
250,393,OK
251,393,OK
252,389,OK
253,500,OK
254,500,OK
255,500,OK
256,500,OK
257,500,OK
258,389,OK
259,500,OK
260,389,OK
261,393,OK
262,393,OK
263,393,OK
264,389,OK
265,500,OK
266,500,OK
267,500,OK
268,389,OK
269,500,OK
270,389,OK
271,393,OK
272,393,OK
273,393,OK
274,389,OK
275,500,OK
276,500,OK
277,500,OK
278,389,OK
279,500,OK
280,451,OK
281,389,OK
282,500,OK
283,389,OK
284,393,OK
285,389,OK
286,500,OK
287,500,OK
288,389,OK
289,500,OK
290,389,OK
291,393,OK
292,393,OK
293,393,OK
294,389,OK
295,500,OK
296,500,OK
297,500,OK
298,389,OK
299,500,OK
300,389,OK
301,393,OK
302,393,OK
303,393,OK
304,389,OK
305,500,OK
306,500,OK
307,500,OK
308,389,OK
309,500,OK
310,389,OK
311,393,OK
312,393,OK
313,393,OK
314,389,OK
315,500,OK
316,500,OK
317,500,OK
318,389,OK
319,500,OK
320,389,OK
321,393,OK
322,393,OK
323,393,OK
324,389,OK
325,500,OK
326,500,OK
327,498,OK
328,389,OK
329,499,OK
330,389,OK
331,392,OK
332,393,OK
333,393,OK
334,389,OK
335,500,OK
336,500,OK
337,500,OK
338,389,OK
339,500,OK
340,389,OK
341,393,OK
342,393,OK
343,393,OK
344,389,OK
345,500,OK
346,500,OK
347,500,OK
348,389,OK
349,500,OK
350,389,OK
351,393,OK
352,393,OK
353,393,OK
354,389,OK
355,500,OK
356,500,OK
357,500,OK
358,389,OK
359,500,OK
360,389,OK
361,393,OK
362,393,OK
363,393,OK
364,389,OK
365,500,OK
366,500,OK
367,500,OK
368,389,OK
369,500,OK
370,389,OK
371,393,OK
372,393,OK
373,393,OK
374,389,OK
375,500,OK
376,500,OK
377,500,OK
378,389,OK
379,500,OK
380,389,OK
381,393,OK
382,393,OK
383,393,OK
384,389,OK
385,500,OK
386,500,OK
387,500,OK
388,389,OK
389,500,OK
390,389,OK
391,393,OK
392,393,OK
393,393,OK
394,389,OK
395,500,OK
396,500,OK
397,500,OK
398,389,OK
399,500,OK
400,389,OK
401,393,OK
402,393,OK
403,393,OK
404,389,OK
405,500,OK
406,500,OK
407,500,OK
408,389,OK
409,500,OK
410,389,OK
411,393,OK
412,393,OK
413,393,OK
414,389,OK
415,500,OK
416,500,OK
417,499,OK
418,389,OK
419,499,OK
420,389,OK
421,241,Failed
422,393,OK
423,393,OK
424,389,OK
425,500,OK
426,500,OK
427,500,OK
428,389,OK
429,500,OK
430,389,OK
431,393,OK
432,393,OK
433,393,OK
434,389,OK
435,500,OK
436,500,OK
437,500,OK
438,389,OK
439,500,OK
440,389,OK
441,393,OK
442,393,OK
443,393,OK
444,389,OK
445,500,OK
446,500,OK
447,500,OK
448,389,OK
449,500,OK
450,389,OK
451,500,OK
452,500,OK
453,500,OK
454,500,OK
455,389,OK
456,500,OK
457,389,OK
458,393,OK
459,393,OK
460,393,OK
461,389,OK
462,500,OK
463,500,OK
464,500,OK
465,389,OK
466,500,OK
467,389,OK
468,393,OK
469,393,OK
470,393,OK
471,389,OK
472,500,OK
473,161,Failed
474,500,OK
475,500,OK
476,389,OK
477,500,OK
478,389,OK
479,393,OK
480,500,OK
481,389,OK
482,393,OK
483,389,OK
484,500,OK
485,500,OK
486,389,OK
487,500,OK
488,389,OK
489,393,OK
490,393,OK
491,393,OK
492,389,OK
493,500,OK
494,500,OK
495,500,OK
496,389,OK
497,500,OK
498,389,OK
499,393,OK
500,393,OK
501,393,OK
502,393,OK
503,389,OK
504,500,OK
505,499,OK
506,389,OK
507,499,OK
508,389,OK
509,392,OK
510,393,OK
511,393,OK
512,500,OK
513,500,OK
514,389,OK
515,500,OK
516,389,OK
517,393,OK
518,393,OK
519,393,OK
520,389,OK
521,500,OK
522,500,OK
523,500,OK
524,389,OK
525,500,OK
526,389,OK
527,393,OK
528,393,OK
529,393,OK
