Test Iteration,Matching,Percentage
0,500,1.0
1,498,0.996
2,413,0.826
3,500,1.0
4,500,1.0
5,500,1.0
6,496,0.992
7,500,1.0
8,500,1.0
9,500,1.0
10,385,0.77
11,500,1.0
12,500,1.0
13,498,0.996
14,497,0.994
15,500,1.0
16,497,0.994
17,500,1.0
18,500,1.0
19,500,1.0
20,460,0.92
21,498,0.996
22,460,0.92
23,500,1.0
24,500,1.0
25,500,1.0
26,498,0.996
27,413,0.826
28,500,1.0
29,500,1.0
30,499,0.998
31,496,0.992
32,500,1.0
33,500,1.0
34,500,1.0
35,496,0.992
36,500,1.0
37,500,1.0
38,498,0.996
39,498,0.996
40,500,1.0
41,497,0.994
42,500,1.0
43,500,1.0
44,500,1.0
45,460,0.92
46,499,0.998
47,460,0.92
48,500,1.0
49,500,1.0
50,500,1.0
51,498,0.996
52,413,0.826
53,500,1.0
54,500,1.0
55,499,0.998
56,496,0.992
57,500,1.0
58,500,1.0
59,500,1.0
60,385,0.77
61,500,1.0
62,500,1.0
63,497,0.994
64,498,0.996
65,500,1.0
66,460,0.92
67,500,1.0
68,500,1.0
69,500,1.0
70,496,0.992
71,499,0.998
72,460,0.92
73,500,1.0
74,500,1.0
75,500,1.0
76,498,0.996
77,413,0.826
78,500,1.0
79,499,0.998
80,494,0.988
81,497,0.994
82,500,1.0
83,500,1.0
84,500,1.0
85,499,0.998
86,500,1.0
87,500,1.0
88,498,0.996
89,497,0.994
90,500,1.0
91,432,0.864
92,500,1.0
93,500,1.0
94,500,1.0
95,496,0.992
96,499,0.998
97,460,0.92
98,500,1.0
99,500,1.0
100,500,1.0
101,498,0.996
102,413,0.826
103,500,1.0
104,500,1.0
105,499,0.998
106,497,0.994
107,500,1.0
108,500,1.0
109,500,1.0
110,385,0.77
111,500,1.0
112,500,1.0
113,498,0.996
114,497,0.994
115,500,1.0
116,499,0.998
117,500,1.0
118,500,1.0
119,500,1.0
120,432,0.864
121,499,0.998
122,460,0.92
