Test Iteration,Matching,Decision
0,500,OK
1,498,OK
2,413,OK
3,500,OK
4,500,OK
5,499,OK
6,497,OK
7,500,OK
8,500,OK
9,500,OK
10,497,OK
11,500,OK
12,500,OK
13,498,OK
14,497,OK
15,500,OK
16,498,OK
17,500,OK
18,500,OK
19,500,OK
20,498,OK
21,499,OK
22,461,OK
23,500,OK
24,500,OK
25,500,OK
26,498,OK
27,413,OK
28,500,OK
29,500,OK
30,500,OK
31,488,OK
32,500,OK
33,500,OK
34,500,OK
35,496,OK
36,500,OK
37,500,OK
38,498,OK
39,498,OK
40,500,OK
41,495,OK
42,500,OK
43,500,OK
44,500,OK
45,496,OK
46,499,OK
47,461,OK
48,500,OK
49,500,OK
50,500,OK
51,498,OK
52,413,OK
53,500,OK
54,500,OK
55,500,OK
56,498,OK
57,500,OK
58,500,OK
59,500,OK
60,498,OK
61,500,OK
62,500,OK
63,498,OK
64,498,OK
65,500,OK
66,489,OK
67,500,OK
68,500,OK
69,500,OK
70,496,OK
71,499,OK
72,460,OK
73,500,OK
74,500,OK
75,500,OK
76,498,OK
77,413,OK
78,500,OK
79,500,OK
80,498,OK
81,496,OK
82,500,OK
83,500,OK
84,500,OK
85,496,OK
86,500,OK
87,500,OK
88,498,OK
89,498,OK
90,500,OK
91,495,OK
92,500,OK
93,500,OK
94,500,OK
95,495,OK
96,498,OK
97,461,OK
98,500,OK
99,500,OK
100,500,OK
101,498,OK
102,413,OK
103,500,OK
104,500,OK
105,500,OK
106,497,OK
107,500,OK
108,500,OK
109,500,OK
110,496,OK
111,500,OK
112,461,OK
113,498,OK
114,498,OK
115,500,OK
116,497,OK
117,500,OK
118,500,OK
119,500,OK
120,496,OK
121,499,OK
122,461,OK
123,500,OK
124,500,OK
125,500,OK
126,498,OK
127,413,OK
128,500,OK
129,500,OK
130,494,OK
131,489,OK
132,500,OK
133,500,OK
134,500,OK
135,498,OK
136,500,OK
137,461,OK
138,498,OK
139,498,OK
140,500,OK
141,496,OK
142,500,OK
143,500,OK
144,500,OK
145,498,OK
146,498,OK
147,460,OK
148,500,OK
149,500,OK
150,500,OK
151,498,OK
152,413,OK
153,500,OK
154,500,OK
155,499,OK
156,497,OK
157,500,OK
158,500,OK
159,500,OK
160,494,OK
161,500,OK
162,500,OK
163,498,OK
164,498,OK
165,500,OK
166,496,OK
167,500,OK
168,500,OK
169,500,OK
170,496,OK
171,499,OK
172,461,OK
173,500,OK
174,500,OK
175,500,OK
176,498,OK
177,413,OK
178,500,OK
179,500,OK
180,499,OK
181,495,OK
182,500,OK
183,500,OK
184,500,OK
185,496,OK
186,500,OK
187,461,OK
188,498,OK
189,498,OK
190,500,OK
191,496,OK
192,500,OK
193,500,OK
194,500,OK
195,495,OK
196,499,OK
197,461,OK
198,500,OK
199,500,OK
200,500,OK
201,498,OK
202,413,OK
203,500,OK
204,500,OK
205,500,OK
206,495,OK
207,500,OK
208,500,OK
209,500,OK
210,495,OK
211,500,OK
212,500,OK
213,498,OK
214,498,OK
215,500,OK
216,496,OK
217,500,OK
218,500,OK
219,500,OK
220,497,OK
221,499,OK
222,461,OK
223,500,OK
224,500,OK
225,500,OK
226,498,OK
227,413,OK
228,500,OK
229,500,OK
230,498,OK
231,495,OK
232,500,OK
233,500,OK
234,500,OK
235,497,OK
236,500,OK
237,500,OK
238,498,OK
239,498,OK
240,500,OK
241,496,OK
242,500,OK
243,500,OK
244,500,OK
245,498,OK
246,499,OK
247,461,OK
248,500,OK
249,500,OK
250,500,OK
251,498,OK
252,413,OK
253,500,OK
254,500,OK
255,499,OK
256,500,OK
257,498,OK
258,500,OK
259,500,OK
260,500,OK
261,499,OK
262,497,OK
263,500,OK
264,500,OK
265,500,OK
266,497,OK
267,500,OK
268,500,OK
269,498,OK
270,498,OK
271,500,OK
272,498,OK
273,500,OK
274,500,OK
275,500,OK
276,498,OK
277,499,OK
278,461,OK
279,500,OK
280,500,OK
281,500,OK
282,498,OK
283,413,OK
284,500,OK
285,500,OK
286,500,OK
287,488,OK
288,500,OK
289,500,OK
290,500,OK
291,496,OK
292,500,OK
293,500,OK
294,498,OK
295,498,OK
296,500,OK
297,495,OK
298,500,OK
299,500,OK
300,500,OK
301,496,OK
302,499,OK
303,461,OK
304,500,OK
305,500,OK
306,500,OK
307,498,OK
308,413,OK
309,500,OK
310,500,OK
311,500,OK
312,498,OK
313,500,OK
314,500,OK
315,500,OK
316,498,OK
317,500,OK
318,500,OK
319,498,OK
320,498,OK
321,500,OK
322,489,OK
323,500,OK
324,500,OK
325,500,OK
326,496,OK
327,499,OK
328,460,OK
329,500,OK
330,500,OK
331,500,OK
332,498,OK
333,413,OK
334,500,OK
335,500,OK
336,498,OK
337,496,OK
338,500,OK
339,500,OK
340,500,OK
341,496,OK
342,500,OK
343,500,OK
344,498,OK
345,498,OK
346,500,OK
347,495,OK
348,500,OK
349,500,OK
350,500,OK
351,495,OK
352,499,OK
353,461,OK
354,500,OK
355,500,OK
356,500,OK
357,498,OK
358,413,OK
359,500,OK
360,500,OK
361,500,OK
362,496,OK
363,500,OK
364,500,OK
365,500,OK
366,496,OK
367,500,OK
368,500,OK
369,498,OK
370,498,OK
371,500,OK
372,496,OK
373,500,OK
374,500,OK
375,500,OK
376,496,OK
377,499,OK
378,460,OK
379,500,OK
380,500,OK
381,500,OK
382,498,OK
383,413,OK
384,500,OK
385,500,OK
386,494,OK
387,496,OK
388,500,OK
389,500,OK
390,500,OK
391,497,OK
392,500,OK
393,461,OK
394,498,OK
395,498,OK
396,500,OK
397,496,OK
398,500,OK
399,500,OK
400,500,OK
401,498,OK
402,498,OK
403,461,OK
404,500,OK
405,500,OK
406,500,OK
407,498,OK
408,413,OK
409,500,OK
410,500,OK
411,499,OK
412,496,OK
413,500,OK
414,500,OK
415,500,OK
416,494,OK
417,500,OK
418,461,OK
419,498,OK
420,498,OK
421,500,OK
422,495,OK
423,500,OK
424,500,OK
425,500,OK
426,495,OK
427,499,OK
428,460,OK
429,500,OK
430,500,OK
431,500,OK
432,498,OK
433,500,OK
434,500,OK
435,500,OK
436,498,OK
437,495,OK
438,500,OK
439,500,OK
440,500,OK
441,496,OK
