Test Iteration,Matching,Decision
0,500,OK
1,498,OK
2,413,OK
3,500,OK
4,500,OK
5,500,OK
6,497,OK
7,500,OK
8,499,OK
9,497,OK
10,500,OK
11,461,OK
12,498,OK
13,497,OK
14,499,OK
15,499,OK
16,500,OK
17,500,OK
18,499,OK
19,498,OK
20,500,OK
21,460,OK
22,485,OK
23,229,Failed
24,500,OK
25,498,OK
26,413,OK
27,500,OK
28,500,OK
29,498,OK
30,496,OK
31,500,OK
32,500,OK
33,497,OK
34,497,OK
35,500,OK
36,461,OK
37,498,OK
38,498,OK
39,398,OK
40,496,OK
41,500,OK
42,500,OK
43,496,OK
44,496,OK
45,500,OK
46,460,OK
47,486,OK
48,500,OK
49,500,OK
50,498,OK
51,413,OK
52,500,OK
53,500,OK
54,499,OK
55,498,OK
56,500,OK
57,500,OK
58,497,OK
59,497,OK
60,500,OK
61,461,OK
62,498,OK
63,497,OK
64,497,OK
65,496,OK
66,500,OK
67,500,OK
68,497,OK
69,495,OK
70,500,OK
71,460,OK
72,486,OK
73,500,OK
74,500,OK
75,497,OK
76,413,OK
77,500,OK
78,500,OK
79,494,OK
80,496,OK
81,500,OK
82,500,OK
83,497,OK
84,496,OK
85,500,OK
86,461,OK
87,498,OK
88,497,OK
89,497,OK
90,496,OK
91,500,OK
92,500,OK
93,397,OK
94,496,OK
95,500,OK
96,460,OK
97,485,OK
98,500,OK
99,500,OK
100,497,OK
101,413,OK
102,500,OK
103,500,OK
104,499,OK
105,496,OK
106,500,OK
107,500,OK
108,499,OK
109,496,OK
110,500,OK
111,460,OK
112,498,OK
113,498,OK
114,496,OK
115,496,OK
116,500,OK
117,500,OK
118,497,OK
119,495,OK
120,500,OK
121,460,OK
122,486,OK
123,500,OK
124,500,OK
125,498,OK
126,413,OK
127,500,OK
128,500,OK
129,493,OK
130,495,OK
131,500,OK
132,500,OK
133,497,OK
134,497,OK
135,500,OK
136,460,OK
137,498,OK
138,497,OK
139,497,OK
140,496,OK
141,500,OK
142,500,OK
143,497,OK
144,496,OK
145,500,OK
146,460,OK
147,485,OK
148,500,OK
149,500,OK
150,498,OK
151,413,OK
152,500,OK
153,500,OK
154,497,OK
155,496,OK
156,500,OK
157,500,OK
158,497,OK
159,496,OK
160,500,OK
161,461,OK
162,498,OK
163,498,OK
164,498,OK
165,496,OK
166,500,OK
167,500,OK
168,497,OK
169,496,OK
170,500,OK
171,460,OK
172,485,OK
173,500,OK
174,500,OK
175,497,OK
176,413,OK
177,500,OK
178,500,OK
179,496,OK
180,496,OK
181,500,OK
182,500,OK
183,498,OK
184,496,OK
185,500,OK
186,461,OK
187,498,OK
188,497,OK
189,499,OK
190,496,OK
191,500,OK
192,500,OK
193,398,OK
194,495,OK
195,500,OK
196,460,OK
197,486,OK
198,500,OK
199,500,OK
200,498,OK
201,413,OK
202,500,OK
203,500,OK
204,499,OK
205,496,OK
206,500,OK
207,500,OK
208,399,OK
209,496,OK
210,500,OK
211,461,OK
212,498,OK
213,498,OK
214,397,OK
215,496,OK
216,500,OK
217,500,OK
218,496,OK
219,496,OK
220,500,OK
221,460,OK
222,485,OK
223,500,OK
224,500,OK
225,498,OK
226,413,OK
227,500,OK
228,500,OK
229,494,OK
230,495,OK
231,500,OK
232,500,OK
233,499,OK
234,496,OK
235,500,OK
236,461,OK
237,498,OK
238,498,OK
239,497,OK
240,496,OK
241,500,OK
242,500,OK
243,498,OK
244,496,OK
245,500,OK
246,460,OK
247,485,OK
248,500,OK
249,500,OK
250,498,OK
251,413,OK
252,500,OK
253,500,OK
254,496,OK
255,495,OK
256,500,OK
257,498,OK
258,413,OK
259,500,OK
260,500,OK
261,500,OK
262,497,OK
263,500,OK
264,500,OK
265,499,OK
266,497,OK
267,500,OK
268,461,OK
269,498,OK
270,497,OK
271,499,OK
272,498,OK
273,500,OK
274,500,OK
275,499,OK
276,498,OK
277,500,OK
278,460,OK
279,485,OK
280,229,Failed
281,500,OK
282,497,OK
283,413,OK
284,500,OK
285,500,OK
286,498,OK
287,496,OK
288,500,OK
289,500,OK
290,497,OK
291,497,OK
292,500,OK
293,461,OK
294,498,OK
295,498,OK
296,398,OK
297,496,OK
298,500,OK
299,500,OK
300,497,OK
301,495,OK
302,500,OK
303,460,OK
304,486,OK
305,500,OK
306,500,OK
307,498,OK
308,413,OK
309,500,OK
310,500,OK
311,499,OK
312,497,OK
313,500,OK
314,500,OK
315,497,OK
316,497,OK
317,500,OK
318,461,OK
319,498,OK
320,497,OK
321,497,OK
322,496,OK
323,500,OK
324,500,OK
325,498,OK
326,496,OK
327,500,OK
328,460,OK
329,486,OK
330,500,OK
331,500,OK
332,498,OK
333,413,OK
334,500,OK
335,500,OK
336,494,OK
337,496,OK
338,500,OK
339,500,OK
340,496,OK
341,497,OK
342,500,OK
343,461,OK
344,498,OK
345,497,OK
346,498,OK
347,496,OK
348,500,OK
349,500,OK
350,399,OK
351,496,OK
352,500,OK
353,460,OK
354,486,OK
355,500,OK
356,500,OK
357,498,OK
358,413,OK
359,500,OK
360,500,OK
361,499,OK
362,497,OK
363,500,OK
364,500,OK
365,499,OK
366,496,OK
367,500,OK
368,461,OK
369,498,OK
370,498,OK
371,497,OK
372,496,OK
373,500,OK
374,500,OK
375,497,OK
376,496,OK
377,500,OK
378,460,OK
379,486,OK
380,500,OK
381,500,OK
382,498,OK
383,413,OK
384,500,OK
385,500,OK
386,494,OK
387,495,OK
388,500,OK
389,500,OK
390,497,OK
391,497,OK
392,500,OK
393,461,OK
394,498,OK
395,498,OK
396,497,OK
397,496,OK
398,500,OK
399,500,OK
400,497,OK
401,496,OK
402,500,OK
403,460,OK
404,485,OK
405,500,OK
406,500,OK
407,498,OK
408,413,OK
409,500,OK
410,500,OK
411,497,OK
412,496,OK
413,500,OK
414,500,OK
415,398,OK
416,496,OK
417,500,OK
418,461,OK
419,498,OK
420,498,OK
421,497,OK
422,496,OK
423,500,OK
424,500,OK
425,497,OK
426,496,OK
427,500,OK
428,460,OK
429,485,OK
430,500,OK
431,500,OK
432,498,OK
433,413,OK
434,500,OK
435,500,OK
436,496,OK
437,496,OK
438,500,OK
439,500,OK
440,498,OK
