Test Iteration,Matching,Decision
0,700,OK
1,700,OK
2,698,OK
3,613,OK
4,700,OK
5,700,OK
6,700,OK
7,697,OK
8,700,OK
9,700,OK
10,600,OK
11,697,OK
12,700,OK
13,660,OK
14,698,OK
15,698,OK
16,699,OK
17,699,OK
18,700,OK
19,700,OK
20,599,OK
21,698,OK
22,700,OK
23,660,OK
24,686,OK
25,229,Failed
26,700,OK
27,698,OK
28,700,OK
29,700,OK
30,700,OK
31,698,OK
32,696,OK
33,700,OK
34,700,OK
35,597,OK
36,698,OK
37,700,OK
38,660,OK
39,698,OK
40,698,OK
41,598,OK
42,695,OK
43,700,OK
44,700,OK
45,597,OK
46,695,OK
47,700,OK
48,660,OK
49,697,OK
50,700,OK
51,700,OK
52,698,OK
53,613,OK
54,700,OK
55,700,OK
56,699,OK
57,698,OK
58,700,OK
59,700,OK
60,697,OK
61,697,OK
62,700,OK
63,660,OK
64,698,OK
65,698,OK
66,698,OK
67,697,OK
68,700,OK
69,700,OK
70,599,OK
71,696,OK
72,700,OK
73,660,OK
74,685,OK
75,700,OK
76,700,OK
77,698,OK
78,613,OK
79,700,OK
80,700,OK
81,694,OK
82,696,OK
83,700,OK
84,700,OK
85,599,OK
86,697,OK
87,700,OK
88,660,OK
89,698,OK
90,698,OK
91,599,OK
92,695,OK
93,700,OK
94,700,OK
95,598,OK
96,696,OK
97,700,OK
98,660,OK
99,685,OK
100,700,OK
101,700,OK
102,698,OK
103,613,OK
104,700,OK
105,700,OK
106,698,OK
107,698,OK
108,700,OK
109,700,OK
110,600,OK
111,697,OK
112,700,OK
113,660,OK
114,698,OK
115,698,OK
116,598,OK
117,698,OK
118,700,OK
119,700,OK
120,698,OK
121,695,OK
122,700,OK
123,660,OK
124,686,OK
125,700,OK
126,700,OK
127,698,OK
128,613,OK
129,700,OK
130,700,OK
131,693,OK
132,695,OK
133,700,OK
134,700,OK
135,697,OK
136,697,OK
137,700,OK
138,660,OK
139,698,OK
140,698,OK
141,698,OK
142,698,OK
143,700,OK
144,700,OK
145,598,OK
146,697,OK
147,700,OK
148,660,OK
149,685,OK
150,700,OK
151,700,OK
152,698,OK
153,613,OK
154,700,OK
155,700,OK
156,697,OK
157,696,OK
158,700,OK
159,700,OK
160,598,OK
161,694,OK
162,700,OK
163,660,OK
164,698,OK
165,698,OK
166,599,OK
167,697,OK
168,700,OK
169,700,OK
170,599,OK
171,697,OK
172,700,OK
173,660,OK
174,686,OK
175,700,OK
176,700,OK
177,698,OK
178,700,OK
179,700,OK
180,700,OK
181,696,OK
182,697,OK
183,700,OK
184,700,OK
185,599,OK
186,697,OK
187,700,OK
188,660,OK
189,698,OK
190,698,OK
191,699,OK
192,695,OK
193,700,OK
194,700,OK
195,599,OK
196,695,OK
197,700,OK
198,660,OK
199,686,OK
200,700,OK
201,700,OK
202,698,OK
203,613,OK
204,700,OK
205,700,OK
206,699,OK
207,697,OK
208,700,OK
209,700,OK
210,598,OK
211,697,OK
212,700,OK
213,660,OK
214,698,OK
215,698,OK
216,598,OK
217,696,OK
218,700,OK
219,700,OK
220,598,OK
221,697,OK
222,700,OK
223,660,OK
224,686,OK
225,700,OK
226,700,OK
227,698,OK
228,613,OK
229,700,OK
230,700,OK
231,694,OK
232,697,OK
233,700,OK
234,700,OK
235,699,OK
236,696,OK
237,700,OK
238,660,OK
239,698,OK
240,698,OK
241,599,OK
242,697,OK
243,700,OK
244,700,OK
245,698,OK
246,696,OK
247,700,OK
248,660,OK
249,686,OK
250,700,OK
251,700,OK
252,698,OK
253,613,OK
254,700,OK
255,700,OK
256,700,OK
257,699,OK
258,698,OK
259,613,OK
260,700,OK
261,700,OK
262,700,OK
263,697,OK
264,700,OK
265,700,OK
266,600,OK
267,697,OK
268,700,OK
269,660,OK
270,698,OK
271,698,OK
272,699,OK
273,699,OK
274,700,OK
275,700,OK
276,600,OK
277,698,OK
278,700,OK
279,660,OK
280,686,OK
281,229,Failed
282,700,OK
283,698,OK
284,700,OK
285,700,OK
286,700,OK
287,698,OK
288,697,OK
289,700,OK
290,700,OK
291,697,OK
292,697,OK
