Test Iteration,Matching,Percentage
0,200,1.0
1,200,1.0
2,200,1.0
3,200,1.0
4,200,1.0
5,200,1.0
6,200,1.0
7,200,1.0
8,149,0.745
9,200,1.0
10,200,1.0
11,200,1.0
12,200,1.0
13,200,1.0
14,149,0.745
15,200,1.0
16,200,1.0
17,200,1.0
18,149,0.745
19,200,1.0
20,200,1.0
21,200,1.0
22,200,1.0
23,200,1.0
24,200,1.0
25,200,1.0
26,200,1.0
27,200,1.0
28,149,0.745
29,200,1.0
30,200,1.0
31,200,1.0
32,200,1.0
33,200,1.0
34,149,0.745
35,200,1.0
36,200,1.0
37,200,1.0
38,149,0.745
39,200,1.0
40,200,1.0
41,200,1.0
42,200,1.0
43,200,1.0
44,200,1.0
45,200,1.0
46,200,1.0
47,200,1.0
48,149,0.745
49,200,1.0
50,200,1.0
51,200,1.0
52,200,1.0
53,200,1.0
54,149,0.745
55,200,1.0
56,200,1.0
57,200,1.0
58,149,0.745
59,200,1.0
60,200,1.0
61,200,1.0
62,200,1.0
63,200,1.0
64,200,1.0
65,200,1.0
66,200,1.0
67,200,1.0
68,149,0.745
69,200,1.0
70,200,1.0
71,200,1.0
72,200,1.0
73,200,1.0
74,149,0.745
75,200,1.0
76,200,1.0
77,200,1.0
78,149,0.745
79,200,1.0
80,200,1.0
81,200,1.0
82,200,1.0
83,200,1.0
84,200,1.0
85,200,1.0
86,200,1.0
87,200,1.0
88,149,0.745
89,200,1.0
90,200,1.0
91,200,1.0
92,200,1.0
93,200,1.0
94,149,0.745
95,200,1.0
96,200,1.0
97,200,1.0
98,149,0.745
99,200,1.0
100,200,1.0
101,200,1.0
102,200,1.0
103,200,1.0
104,200,1.0
105,200,1.0
106,200,1.0
107,200,1.0
108,149,0.745
109,200,1.0
110,200,1.0
111,200,1.0
112,200,1.0
113,200,1.0
114,149,0.745
115,200,1.0
116,200,1.0
117,200,1.0
118,149,0.745
119,200,1.0
120,200,1.0
121,200,1.0
122,200,1.0
123,200,1.0
124,200,1.0
125,200,1.0
126,200,1.0
127,200,1.0
128,149,0.745
129,200,1.0
130,137,0.685
131,177,0.885
132,137,0.685
133,137,0.685
134,149,0.745
135,134,0.67
136,177,0.885
137,177,0.885
138,149,0.745
139,134,0.67
140,137,0.685
141,200,1.0
142,137,0.685
143,200,1.0
144,134,0.67
145,177,0.885
146,137,0.685
147,200,1.0
148,149,0.745
149,200,1.0
150,137,0.685
151,177,0.885
152,137,0.685
153,137,0.685
154,149,0.745
155,134,0.67
156,177,0.885
157,177,0.885
158,149,0.745
159,134,0.67
160,134,0.67
161,200,1.0
162,137,0.685
163,200,1.0
164,134,0.67
165,177,0.885
166,134,0.67
167,200,1.0
168,149,0.745
169,200,1.0
170,134,0.67
171,177,0.885
172,134,0.67
173,137,0.685
174,149,0.745
175,137,0.685
176,177,0.885
177,177,0.885
178,149,0.745
179,137,0.685
180,137,0.685
181,200,1.0
182,137,0.685
183,200,1.0
184,134,0.67
185,177,0.885
186,134,0.67
187,200,1.0
188,149,0.745
189,200,1.0
190,137,0.685
191,177,0.885
192,137,0.685
193,137,0.685
194,149,0.745
195,134,0.67
196,177,0.885
197,177,0.885
198,149,0.745
199,137,0.685
200,137,0.685
201,200,1.0
202,134,0.67
203,200,1.0
204,134,0.67
205,177,0.885
206,137,0.685
207,200,1.0
208,149,0.745
209,200,1.0
210,137,0.685
211,177,0.885
212,137,0.685
213,137,0.685
214,149,0.745
215,134,0.67
216,174,0.87
217,177,0.885
218,149,0.745
219,137,0.685
220,134,0.67
221,200,1.0
222,137,0.685
223,200,1.0
224,134,0.67
225,177,0.885
226,134,0.67
227,200,1.0
228,149,0.745
229,200,1.0
230,134,0.67
231,177,0.885
232,134,0.67
233,137,0.685
234,149,0.745
235,137,0.685
236,177,0.885
237,177,0.885
238,149,0.745
239,137,0.685
240,134,0.67
241,200,1.0
242,137,0.685
243,200,1.0
244,137,0.685
245,177,0.885
246,137,0.685
247,200,1.0
248,149,0.745
249,200,1.0
250,134,0.67
251,177,0.885
252,137,0.685
253,134,0.67
254,149,0.745
255,137,0.685
256,200,1.0
257,200,1.0
258,200,1.0
259,200,1.0
260,200,1.0
261,200,1.0
262,200,1.0
263,200,1.0
264,149,0.745
265,200,1.0
266,200,1.0
267,200,1.0
268,200,1.0
269,200,1.0
270,149,0.745
271,200,1.0
272,200,1.0
273,200,1.0
274,149,0.745
275,200,1.0
276,200,1.0
277,200,1.0
278,200,1.0
279,200,1.0
280,200,1.0
281,200,1.0
282,200,1.0
283,200,1.0
284,149,0.745
285,200,1.0
286,200,1.0
287,200,1.0
288,200,1.0
289,200,1.0
290,149,0.745
291,200,1.0
292,200,1.0
293,200,1.0
294,149,0.745
295,200,1.0
296,200,1.0
297,200,1.0
298,200,1.0
299,200,1.0
300,200,1.0
301,200,1.0
302,200,1.0
303,200,1.0
304,149,0.745
305,200,1.0
306,200,1.0
307,200,1.0
308,200,1.0
309,200,1.0
310,149,0.745
311,200,1.0
312,200,1.0
313,200,1.0
314,149,0.745
315,200,1.0
316,200,1.0
317,200,1.0
318,200,1.0
319,200,1.0
320,200,1.0
321,200,1.0
322,200,1.0
323,200,1.0
324,149,0.745
325,200,1.0
326,200,1.0
327,200,1.0
328,200,1.0
329,200,1.0
330,149,0.745
331,200,1.0
332,200,1.0
333,200,1.0
334,149,0.745
335,200,1.0
336,200,1.0
337,200,1.0
338,200,1.0
339,200,1.0
340,200,1.0
341,200,1.0
342,200,1.0
343,200,1.0
344,149,0.745
345,200,1.0
346,200,1.0
347,200,1.0
348,200,1.0
349,200,1.0
350,149,0.745
351,200,1.0
352,200,1.0
353,200,1.0
354,149,0.745
355,200,1.0
356,200,1.0
357,200,1.0
358,200,1.0
359,200,1.0
360,200,1.0
361,200,1.0
362,200,1.0
363,200,1.0
364,149,0.745
365,200,1.0
366,200,1.0
367,200,1.0
368,200,1.0
369,200,1.0
370,149,0.745
371,200,1.0
372,200,1.0
373,200,1.0
374,149,0.745
375,200,1.0
376,200,1.0
377,200,1.0
378,200,1.0
379,200,1.0
380,200,1.0
381,200,1.0
382,200,1.0
383,200,1.0
384,149,0.745
385,200,1.0
386,137,0.685
387,177,0.885
388,137,0.685
389,137,0.685
390,149,0.745
391,134,0.67
392,177,0.885
393,177,0.885
394,149,0.745
395,134,0.67
396,137,0.685
397,200,1.0
398,137,0.685
399,200,1.0
400,137,0.685
401,177,0.885
402,137,0.685
403,200,1.0
404,149,0.745
405,200,1.0
406,137,0.685
407,177,0.885
408,137,0.685
409,137,0.685
410,149,0.745
411,134,0.67
412,177,0.885
413,177,0.885
414,149,0.745
415,134,0.67
416,137,0.685
417,200,1.0
418,134,0.67
419,200,1.0
420,134,0.67
421,177,0.885
422,134,0.67
423,200,1.0
424,149,0.745
425,200,1.0
426,134,0.67
427,177,0.885
428,134,0.67
429,137,0.685
430,149,0.745
431,137,0.685
432,177,0.885
433,177,0.885
434,149,0.745
435,137,0.685
436,137,0.685
437,200,1.0
438,134,0.67
439,200,1.0
440,137,0.685
441,177,0.885
442,134,0.67
443,200,1.0
444,149,0.745
445,200,1.0
446,137,0.685
447,177,0.885
448,137,0.685
449,137,0.685
450,149,0.745
451,134,0.67
452,177,0.885
453,177,0.885
454,149,0.745
455,137,0.685
456,137,0.685
457,200,1.0
458,134,0.67
459,200,1.0
460,137,0.685
461,177,0.885
462,134,0.67
463,200,1.0
464,149,0.745
465,200,1.0
466,137,0.685
467,177,0.885
468,137,0.685
469,137,0.685
470,149,0.745
471,134,0.67
472,177,0.885
473,177,0.885
474,149,0.745
475,137,0.685
476,134,0.67
477,200,1.0
478,137,0.685
479,200,1.0
480,134,0.67
481,177,0.885
482,137,0.685
483,200,1.0
484,149,0.745
485,200,1.0
486,134,0.67
487,177,0.885
488,134,0.67
489,137,0.685
490,149,0.745
491,134,0.67
492,177,0.885
493,177,0.885
494,149,0.745
495,137,0.685
496,134,0.67
497,200,1.0
498,137,0.685
499,200,1.0
500,137,0.685
501,177,0.885
502,134,0.67
503,200,1.0
504,149,0.745
505,200,1.0
506,134,0.67
507,177,0.885
508,134,0.67
509,134,0.67
510,149,0.745
511,137,0.685
512,200,1.0
513,200,1.0
514,200,1.0
515,200,1.0
516,200,1.0
517,200,1.0
518,200,1.0
519,200,1.0
520,149,0.745
521,200,1.0
522,200,1.0
523,200,1.0
524,200,1.0
525,200,1.0
526,149,0.745
527,200,1.0
528,200,1.0
529,200,1.0
530,149,0.745
531,200,1.0
532,200,1.0
533,200,1.0
534,200,1.0
535,200,1.0
536,200,1.0
537,200,1.0
538,200,1.0
539,200,1.0
540,149,0.745
541,200,1.0
542,200,1.0
543,200,1.0
544,200,1.0
545,200,1.0
546,149,0.745
547,200,1.0
548,200,1.0
549,200,1.0
550,149,0.745
551,200,1.0
552,200,1.0
553,200,1.0
554,200,1.0
555,200,1.0
556,200,1.0
557,200,1.0
558,200,1.0
559,200,1.0
560,149,0.745
561,200,1.0
562,200,1.0
563,200,1.0
564,200,1.0
565,200,1.0
566,149,0.745
567,200,1.0
568,200,1.0
569,200,1.0
570,149,0.745
571,200,1.0
572,200,1.0
573,200,1.0
574,200,1.0
575,200,1.0
576,200,1.0
577,200,1.0
578,200,1.0
579,200,1.0
580,149,0.745
581,200,1.0
582,200,1.0
583,200,1.0
584,200,1.0
585,200,1.0
586,149,0.745
587,200,1.0
588,200,1.0
589,200,1.0
590,149,0.745
591,200,1.0
592,200,1.0
593,200,1.0
594,200,1.0
595,200,1.0
596,200,1.0
597,200,1.0
598,200,1.0
599,200,1.0
600,149,0.745
601,200,1.0
602,200,1.0
603,200,1.0
604,200,1.0
605,200,1.0
606,149,0.745
607,200,1.0
608,200,1.0
609,200,1.0
610,149,0.745
611,200,1.0
612,200,1.0
613,200,1.0
614,200,1.0
615,200,1.0
616,200,1.0
617,200,1.0
618,200,1.0
619,200,1.0
620,149,0.745
