Test Iteration,Matching,Percentage
0,250,1.0
1,250,1.0
2,250,1.0
3,250,1.0
4,250,1.0
5,250,1.0
6,250,1.0
7,250,1.0
8,250,1.0
9,250,1.0
10,250,1.0
11,250,1.0
12,250,1.0
13,250,1.0
14,250,1.0
15,250,1.0
16,250,1.0
17,250,1.0
18,250,1.0
19,250,1.0
20,250,1.0
21,250,1.0
22,250,1.0
23,250,1.0
24,250,1.0
25,250,1.0
26,250,1.0
27,250,1.0
28,250,1.0
29,250,1.0
30,250,1.0
31,250,1.0
32,250,1.0
33,250,1.0
34,250,1.0
35,250,1.0
36,250,1.0
37,250,1.0
38,250,1.0
39,250,1.0
40,250,1.0
41,250,1.0
42,250,1.0
43,250,1.0
44,250,1.0
45,250,1.0
46,250,1.0
47,250,1.0
48,250,1.0
49,250,1.0
50,250,1.0
51,250,1.0
52,250,1.0
53,250,1.0
54,250,1.0
55,250,1.0
56,250,1.0
57,250,1.0
58,250,1.0
59,250,1.0
60,250,1.0
61,250,1.0
62,250,1.0
63,250,1.0
64,250,1.0
65,250,1.0
66,250,1.0
67,250,1.0
68,250,1.0
69,250,1.0
70,250,1.0
71,250,1.0
72,250,1.0
73,250,1.0
74,250,1.0
75,250,1.0
76,250,1.0
77,250,1.0
78,250,1.0
79,250,1.0
80,250,1.0
81,250,1.0
82,250,1.0
83,250,1.0
84,250,1.0
85,250,1.0
86,250,1.0
87,250,1.0
88,250,1.0
89,250,1.0
90,250,1.0
91,250,1.0
92,250,1.0
93,250,1.0
94,250,1.0
95,250,1.0
96,250,1.0
97,250,1.0
98,250,1.0
99,250,1.0
100,250,1.0
101,250,1.0
102,250,1.0
103,250,1.0
104,250,1.0
105,250,1.0
106,250,1.0
107,250,1.0
108,250,1.0
109,250,1.0
110,250,1.0
111,250,1.0
112,250,1.0
113,250,1.0
114,250,1.0
115,250,1.0
116,250,1.0
117,250,1.0
118,250,1.0
119,250,1.0
120,250,1.0
121,250,1.0
122,250,1.0
123,250,1.0
124,250,1.0
125,250,1.0
126,250,1.0
127,250,1.0
128,250,1.0
129,125,0.5
130,101,0.404
131,121,0.484
132,101,0.404
133,121,0.484
134,101,0.404
135,121,0.484
136,101,0.404
137,121,0.484
138,101,0.404
139,121,0.484
140,101,0.404
141,121,0.484
142,101,0.404
143,121,0.484
144,101,0.404
145,121,0.484
146,101,0.404
147,121,0.484
148,101,0.404
149,121,0.484
150,101,0.404
151,121,0.484
152,101,0.404
153,121,0.484
154,101,0.404
155,125,0.5
156,101,0.404
157,121,0.484
158,101,0.404
159,121,0.484
160,101,0.404
161,121,0.484
162,101,0.404
163,121,0.484
164,101,0.404
165,121,0.484
166,101,0.404
167,121,0.484
168,101,0.404
169,121,0.484
170,101,0.404
171,121,0.484
172,101,0.404
173,121,0.484
174,101,0.404
175,121,0.484
176,101,0.404
177,121,0.484
178,101,0.404
179,121,0.484
180,101,0.404
181,125,0.5
182,101,0.404
183,121,0.484
184,101,0.404
185,121,0.484
186,101,0.404
187,121,0.484
188,101,0.404
189,121,0.484
190,101,0.404
191,121,0.484
192,101,0.404
193,121,0.484
194,101,0.404
195,121,0.484
196,101,0.404
197,121,0.484
198,101,0.404
199,121,0.484
200,101,0.404
201,121,0.484
202,101,0.404
203,121,0.484
204,101,0.404
205,121,0.484
206,101,0.404
207,125,0.5
208,101,0.404
209,121,0.484
210,101,0.404
211,121,0.484
212,101,0.404
213,121,0.484
214,101,0.404
215,121,0.484
216,101,0.404
217,121,0.484
218,101,0.404
219,121,0.484
220,101,0.404
221,121,0.484
222,101,0.404
223,121,0.484
224,101,0.404
225,121,0.484
226,101,0.404
227,121,0.484
228,101,0.404
229,121,0.484
230,101,0.404
231,121,0.484
232,101,0.404
233,125,0.5
234,101,0.404
235,121,0.484
236,101,0.404
237,121,0.484
238,101,0.404
239,121,0.484
240,101,0.404
241,121,0.484
242,101,0.404
243,121,0.484
244,101,0.404
245,121,0.484
246,101,0.404
247,121,0.484
248,101,0.404
249,121,0.484
250,101,0.404
251,121,0.484
252,101,0.404
253,121,0.484
254,101,0.404
255,121,0.484
256,250,1.0
257,250,1.0
258,250,1.0
259,250,1.0
260,250,1.0
261,250,1.0
262,250,1.0
263,250,1.0
264,250,1.0
265,250,1.0
266,250,1.0
267,250,1.0
268,250,1.0
269,250,1.0
270,250,1.0
271,250,1.0
272,250,1.0
273,250,1.0
274,250,1.0
275,250,1.0
276,250,1.0
277,250,1.0
278,250,1.0
279,250,1.0
280,250,1.0
281,250,1.0
282,250,1.0
283,250,1.0
284,250,1.0
285,250,1.0
286,250,1.0
287,250,1.0
288,250,1.0
289,250,1.0
290,250,1.0
291,250,1.0
292,250,1.0
293,250,1.0
294,250,1.0
295,250,1.0
296,250,1.0
297,250,1.0
298,250,1.0
299,250,1.0
300,250,1.0
301,250,1.0
302,250,1.0
303,250,1.0
304,250,1.0
305,250,1.0
306,250,1.0
307,250,1.0
308,250,1.0
309,250,1.0
310,250,1.0
311,250,1.0
312,250,1.0
313,250,1.0
314,250,1.0
315,250,1.0
316,250,1.0
317,250,1.0
318,250,1.0
319,250,1.0
320,250,1.0
321,250,1.0
322,250,1.0
323,250,1.0
324,250,1.0
325,250,1.0
326,250,1.0
327,250,1.0
328,250,1.0
329,250,1.0
330,250,1.0
331,250,1.0
332,250,1.0
333,250,1.0
334,250,1.0
335,250,1.0
336,250,1.0
337,250,1.0
338,250,1.0
339,250,1.0
340,250,1.0
341,250,1.0
342,250,1.0
343,250,1.0
344,250,1.0
345,250,1.0
346,250,1.0
347,250,1.0
348,250,1.0
349,250,1.0
350,250,1.0
351,250,1.0
352,250,1.0
353,250,1.0
354,250,1.0
355,250,1.0
356,250,1.0
357,250,1.0
358,250,1.0
359,250,1.0
360,250,1.0
361,250,1.0
362,250,1.0
363,250,1.0
364,250,1.0
365,250,1.0
366,250,1.0
367,250,1.0
368,250,1.0
369,250,1.0
370,250,1.0
371,250,1.0
372,250,1.0
373,250,1.0
374,250,1.0
375,250,1.0
376,250,1.0
377,250,1.0
378,250,1.0
379,250,1.0
380,250,1.0
381,250,1.0
382,250,1.0
383,250,1.0
384,250,1.0
385,125,0.5
386,101,0.404
387,121,0.484
388,101,0.404
389,121,0.484
390,101,0.404
391,121,0.484
392,101,0.404
393,121,0.484
394,101,0.404
395,121,0.484
396,101,0.404
397,121,0.484
398,101,0.404
399,121,0.484
400,101,0.404
401,121,0.484
402,101,0.404
403,121,0.484
404,101,0.404
405,121,0.484
406,101,0.404
407,121,0.484
408,101,0.404
409,121,0.484
410,101,0.404
411,125,0.5
412,101,0.404
413,121,0.484
414,101,0.404
415,121,0.484
416,101,0.404
417,121,0.484
418,101,0.404
419,121,0.484
420,101,0.404
421,121,0.484
422,101,0.404
423,121,0.484
424,101,0.404
425,121,0.484
426,101,0.404
427,121,0.484
428,101,0.404
429,121,0.484
430,101,0.404
431,121,0.484
