Test Iteration,Matching,Percentage
0,400,1.0
1,400,1.0
2,400,1.0
3,400,1.0
4,400,1.0
5,400,1.0
6,400,1.0
7,400,1.0
8,400,1.0
9,400,1.0
10,400,1.0
11,400,1.0
12,400,1.0
13,400,1.0
14,400,1.0
15,400,1.0
16,400,1.0
17,400,1.0
18,400,1.0
19,400,1.0
20,400,1.0
21,400,1.0
22,400,1.0
23,400,1.0
24,400,1.0
25,400,1.0
26,400,1.0
27,400,1.0
28,400,1.0
29,400,1.0
30,400,1.0
31,400,1.0
32,400,1.0
33,400,1.0
34,400,1.0
35,400,1.0
36,400,1.0
37,400,1.0
38,400,1.0
39,400,1.0
40,400,1.0
41,400,1.0
42,400,1.0
43,400,1.0
44,400,1.0
45,400,1.0
46,400,1.0
47,400,1.0
48,400,1.0
49,400,1.0
50,400,1.0
51,400,1.0
52,400,1.0
53,400,1.0
54,400,1.0
55,400,1.0
56,400,1.0
57,400,1.0
58,400,1.0
59,400,1.0
60,400,1.0
61,400,1.0
62,400,1.0
63,400,1.0
64,400,1.0
65,400,1.0
66,400,1.0
67,400,1.0
68,400,1.0
69,400,1.0
70,400,1.0
71,400,1.0
72,400,1.0
73,400,1.0
74,400,1.0
75,400,1.0
76,400,1.0
77,400,1.0
78,400,1.0
79,400,1.0
80,400,1.0
81,400,1.0
82,400,1.0
83,400,1.0
84,400,1.0
85,400,1.0
86,400,1.0
87,400,1.0
88,400,1.0
89,400,1.0
90,400,1.0
91,400,1.0
92,400,1.0
93,400,1.0
94,400,1.0
95,400,1.0
96,400,1.0
97,400,1.0
98,400,1.0
99,400,1.0
100,400,1.0
101,400,1.0
102,400,1.0
103,400,1.0
104,400,1.0
105,400,1.0
106,400,1.0
107,400,1.0
108,400,1.0
109,400,1.0
110,400,1.0
111,400,1.0
112,400,1.0
113,400,1.0
114,400,1.0
115,400,1.0
116,400,1.0
117,400,1.0
118,400,1.0
119,400,1.0
120,400,1.0
121,400,1.0
122,400,1.0
123,400,1.0
124,400,1.0
125,400,1.0
126,400,1.0
127,400,1.0
128,400,1.0
129,125,0.3125
130,101,0.2525
131,121,0.3025
132,101,0.2525
133,121,0.3025
134,101,0.2525
135,121,0.3025
136,101,0.2525
137,121,0.3025
138,101,0.2525
139,121,0.3025
140,101,0.2525
141,121,0.3025
142,101,0.2525
143,121,0.3025
144,101,0.2525
145,121,0.3025
146,101,0.2525
147,121,0.3025
148,101,0.2525
149,121,0.3025
150,101,0.2525
151,121,0.3025
152,101,0.2525
153,121,0.3025
154,101,0.2525
155,125,0.3125
156,101,0.2525
157,121,0.3025
158,101,0.2525
159,121,0.3025
160,101,0.2525
161,121,0.3025
162,101,0.2525
163,121,0.3025
164,101,0.2525
165,121,0.3025
166,101,0.2525
167,121,0.3025
168,101,0.2525
169,121,0.3025
170,101,0.2525
171,121,0.3025
172,101,0.2525
173,121,0.3025
174,101,0.2525
175,121,0.3025
