Test Iteration,Matching,Percentage
0,500,1.0
1,500,1.0
2,500,1.0
3,500,1.0
4,500,1.0
5,409,0.818
6,500,1.0
7,409,0.818
8,500,1.0
9,409,0.818
10,500,1.0
11,409,0.818
12,500,1.0
13,409,0.818
14,500,1.0
15,500,1.0
16,500,1.0
17,409,0.818
18,500,1.0
19,500,1.0
20,500,1.0
21,500,1.0
22,500,1.0
23,500,1.0
24,500,1.0
25,500,1.0
26,500,1.0
27,500,1.0
28,500,1.0
29,500,1.0
30,500,1.0
31,500,1.0
32,500,1.0
33,500,1.0
34,500,1.0
35,409,0.818
36,500,1.0
37,500,1.0
38,500,1.0
39,409,0.818
40,500,1.0
41,500,1.0
42,500,1.0
43,500,1.0
44,500,1.0
45,500,1.0
46,500,1.0
47,500,1.0
48,500,1.0
49,409,0.818
50,500,1.0
51,500,1.0
52,500,1.0
53,409,0.818
54,500,1.0
55,409,0.818
56,500,1.0
57,500,1.0
58,500,1.0
59,409,0.818
60,500,1.0
61,500,1.0
62,500,1.0
63,500,1.0
64,500,1.0
65,500,1.0
66,500,1.0
67,500,1.0
68,500,1.0
69,500,1.0
70,500,1.0
71,409,0.818
72,500,1.0
73,409,0.818
74,500,1.0
75,409,0.818
76,500,1.0
77,500,1.0
78,500,1.0
79,500,1.0
80,500,1.0
81,409,0.818
82,500,1.0
83,409,0.818
84,500,1.0
85,409,0.818
86,500,1.0
87,409,0.818
88,500,1.0
89,409,0.818
90,500,1.0
91,500,1.0
92,500,1.0
93,500,1.0
94,500,1.0
95,500,1.0
96,500,1.0
97,500,1.0
98,500,1.0
99,500,1.0
100,500,1.0
101,500,1.0
102,500,1.0
103,500,1.0
104,500,1.0
105,500,1.0
106,500,1.0
107,409,0.818
108,500,1.0
109,500,1.0
110,500,1.0
111,500,1.0
112,500,1.0
113,409,0.818
114,500,1.0
115,500,1.0
116,500,1.0
117,409,0.818
118,500,1.0
119,500,1.0
120,500,1.0
121,500,1.0
122,500,1.0
123,500,1.0
124,500,1.0
125,409,0.818
126,500,1.0
127,500,1.0
128,500,1.0
129,500,1.0
130,500,1.0
131,409,0.818
132,500,1.0
133,500,1.0
134,500,1.0
135,500,1.0
136,500,1.0
137,500,1.0
138,500,1.0
139,409,0.818
140,500,1.0
141,500,1.0
142,500,1.0
143,409,0.818
144,500,1.0
145,500,1.0
146,500,1.0
147,500,1.0
148,500,1.0
149,500,1.0
150,500,1.0
151,500,1.0
152,500,1.0
153,409,0.818
154,500,1.0
155,500,1.0
156,500,1.0
157,500,1.0
158,500,1.0
159,500,1.0
160,500,1.0
161,500,1.0
162,500,1.0
163,500,1.0
164,500,1.0
165,500,1.0
166,500,1.0
167,500,1.0
168,500,1.0
169,500,1.0
170,500,1.0
171,409,0.818
172,500,1.0
173,500,1.0
174,500,1.0
175,500,1.0
176,500,1.0
177,500,1.0
178,500,1.0
179,500,1.0
180,500,1.0
181,500,1.0
182,500,1.0
183,409,0.818
184,500,1.0
185,409,0.818
186,500,1.0
187,409,0.818
188,500,1.0
189,409,0.818
190,500,1.0
191,500,1.0
192,500,1.0
193,500,1.0
194,500,1.0
195,409,0.818
196,500,1.0
197,409,0.818
198,500,1.0
199,409,0.818
200,500,1.0
201,500,1.0
202,500,1.0
203,409,0.818
204,500,1.0
205,409,0.818
206,500,1.0
207,500,1.0
208,500,1.0
209,500,1.0
210,500,1.0
211,500,1.0
212,500,1.0
213,500,1.0
214,500,1.0
215,500,1.0
216,500,1.0
217,500,1.0
218,500,1.0
219,500,1.0
220,500,1.0
221,500,1.0
222,500,1.0
223,500,1.0
224,500,1.0
225,500,1.0
226,500,1.0
227,409,0.818
228,500,1.0
229,500,1.0
230,500,1.0
231,409,0.818
232,500,1.0
233,500,1.0
234,500,1.0
235,500,1.0
236,500,1.0
237,500,1.0
238,500,1.0
239,500,1.0
240,500,1.0
241,500,1.0
242,500,1.0
243,409,0.818
244,500,1.0
245,409,0.818
246,500,1.0
247,500,1.0
248,500,1.0
249,409,0.818
250,500,1.0
251,409,0.818
252,500,1.0
253,409,0.818
254,500,1.0
255,409,0.818
256,500,1.0
257,500,1.0
258,500,1.0
259,500,1.0
260,500,1.0
261,500,1.0
262,500,1.0
263,409,0.818
264,500,1.0
265,500,1.0
266,500,1.0
267,500,1.0
268,500,1.0
269,500,1.0
270,500,1.0
271,409,0.818
