Test Iteration,Matching,Percentage
0,350,1.0
1,350,1.0
2,350,1.0
3,325,0.9285714285714286
4,350,1.0
5,350,1.0
6,350,1.0
7,350,1.0
8,325,0.9285714285714286
9,350,1.0
10,350,1.0
11,350,1.0
12,325,0.9285714285714286
13,350,1.0
14,350,1.0
15,350,1.0
16,329,0.94
17,350,1.0
18,329,0.94
19,350,1.0
20,350,1.0
21,350,1.0
22,350,1.0
23,325,0.9285714285714286
24,350,1.0
25,350,1.0
26,350,1.0
27,350,1.0
28,325,0.9285714285714286
29,350,1.0
30,350,1.0
31,350,1.0
32,325,0.9285714285714286
33,350,1.0
34,350,1.0
35,350,1.0
36,350,1.0
37,325,0.9285714285714286
38,350,1.0
39,329,0.94
40,350,1.0
41,350,1.0
42,350,1.0
43,325,0.9285714285714286
44,350,1.0
45,350,1.0
46,350,1.0
47,350,1.0
48,325,0.9285714285714286
49,350,1.0
50,350,1.0
51,350,1.0
52,350,1.0
53,325,0.9285714285714286
54,350,1.0
55,350,1.0
56,350,1.0
57,325,0.9285714285714286
58,350,1.0
59,350,1.0
60,350,1.0
61,325,0.9285714285714286
62,350,1.0
63,350,1.0
64,325,0.9285714285714286
65,350,1.0
66,350,1.0
67,350,1.0
68,329,0.94
69,350,1.0
70,329,0.94
71,350,1.0
72,329,0.94
73,350,1.0
74,350,1.0
75,350,1.0
76,325,0.9285714285714286
77,350,1.0
78,350,1.0
79,329,0.94
80,350,1.0
81,350,1.0
82,350,1.0
83,329,0.94
84,350,1.0
85,350,1.0
86,350,1.0
87,325,0.9285714285714286
88,350,1.0
89,350,1.0
90,350,1.0
91,325,0.9285714285714286
92,350,1.0
93,350,1.0
94,325,0.9285714285714286
95,350,1.0
96,350,1.0
97,350,1.0
98,329,0.94
99,350,1.0
100,350,1.0
101,325,0.9285714285714286
102,350,1.0
103,350,1.0
104,350,1.0
105,350,1.0
106,325,0.9285714285714286
107,350,1.0
108,350,1.0
109,329,0.94
110,350,1.0
111,325,0.9285714285714286
112,350,1.0
113,350,1.0
114,329,0.94
115,350,1.0
116,350,1.0
117,350,1.0
118,350,1.0
119,325,0.9285714285714286
120,350,1.0
121,350,1.0
122,350,1.0
123,325,0.9285714285714286
124,350,1.0
125,350,1.0
126,325,0.9285714285714286
127,350,1.0
128,0,0.0
129,0,0.0
130,0,0.0
131,225,0.6428571428571429
132,0,0.0
133,0,0.0
134,0,0.0
135,0,0.0
136,225,0.6428571428571429
137,0,0.0
138,225,0.6428571428571429
139,0,0.0
140,0,0.0
141,0,0.0
142,225,0.6428571428571429
143,0,0.0
144,0,0.0
145,0,0.0
146,225,0.6428571428571429
147,0,0.0
148,0,0.0
149,0,0.0
150,225,0.6428571428571429
151,0,0.0
152,0,0.0
153,0,0.0
154,225,0.6428571428571429
155,0,0.0
156,0,0.0
157,0,0.0
158,225,0.6428571428571429
159,0,0.0
160,225,0.6428571428571429
161,0,0.0
162,0,0.0
163,225,0.6428571428571429
164,0,0.0
165,0,0.0
166,225,0.6428571428571429
167,0,0.0
168,0,0.0
169,0,0.0
170,0,0.0
171,225,0.6428571428571429
172,0,0.0
173,0,0.0
174,0,0.0
175,225,0.6428571428571429
176,0,0.0
177,0,0.0
178,0,0.0
179,0,0.0
180,225,0.6428571428571429
181,0,0.0
182,0,0.0
183,0,0.0
184,225,0.6428571428571429
185,0,0.0
186,0,0.0
187,0,0.0
188,225,0.6428571428571429
189,0,0.0
190,0,0.0
191,0,0.0
192,225,0.6428571428571429
193,0,0.0
194,0,0.0
195,0,0.0
196,225,0.6428571428571429
197,0,0.0
198,0,0.0
199,0,0.0
200,225,0.6428571428571429
201,0,0.0
202,0,0.0
203,225,0.6428571428571429
204,0,0.0
205,0,0.0
206,0,0.0
207,0,0.0
208,225,0.6428571428571429
209,0,0.0
210,0,0.0
211,0,0.0
212,225,0.6428571428571429
213,0,0.0
214,0,0.0
215,0,0.0
216,0,0.0
217,225,0.6428571428571429
218,0,0.0
219,0,0.0
